# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_oldruins
# Exported by: Blockmaster2706
setting:	replacespawns 0
weapon_ttt_confgrenade	1746.579956 -1765.560059 -620.513000	0.000 0.000 0.000
weapon_ttt_confgrenade	780.192017 -2119.510010 -619.398010	0.000 0.000 0.000
weapon_ttt_confgrenade	-184.184006 -143.692993 -617.398010	0.000 0.000 0.000
weapon_ttt_confgrenade	768.434998 -1193.949951 -251.397995	0.000 0.000 0.000
weapon_ttt_confgrenade	855.684998 -1197.589966 -1227.400024	0.000 0.000 0.000
weapon_ttt_confgrenade	-106.782997 -418.175995 -891.398010	0.000 0.000 0.000
weapon_ttt_confgrenade	1062.510010 -865.081970 -891.398010	0.000 0.000 0.000
item_ammo_revolver_ttt	687.000000 2303.000000 -270.234009	0.000 0.000 0.000
item_ammo_revolver_ttt	-142.167999 -84.383698 -318.002014	0.000 0.000 0.000
item_ammo_revolver_ttt	-142.848999 -63.506699 -319.723999	0.000 0.000 0.000
item_ammo_revolver_ttt	531.151001 2198.149902 -126.001999	0.000 0.000 0.000
item_ammo_revolver_ttt	530.469971 2219.020020 -127.723999	0.000 0.000 0.000
item_ammo_revolver_ttt	1784.869995 -1638.199951 -463.723999	0.000 0.000 0.000
item_ammo_revolver_ttt	1737.589966 -15.848900 -413.002014	0.000 0.000 0.000
item_ammo_revolver_ttt	-97.667801 -415.466003 -892.887024	0.000 0.000 0.000
item_ammo_revolver_ttt	1043.540039 -864.000000 -892.887024	0.000 351.004 0.000
item_ammo_revolver_ttt	-531.375977 -966.602600 -895.633118	0.457 0.058 0.042
item_ammo_revolver_ttt	-506.532867 -966.401001 -895.622742	0.459 0.056 0.037
item_ammo_revolver_ttt	-537.886902 -868.843750 -895.642944	0.455 0.059 0.046
item_ammo_revolver_ttt	-509.596313 -873.390381 -895.653687	0.453 0.061 0.050
item_ammo_revolver_ttt	-526.280701 -753.819031 -895.633118	0.457 0.058 0.042
item_ammo_revolver_ttt	-504.736969 -763.334045 -895.637939	0.456 0.058 0.044
item_ammo_revolver_ttt	-442.534210 -719.197144 -895.633118	0.457 0.058 0.042
item_ammo_revolver_ttt	-415.567261 -727.435120 -895.636292	0.456 0.058 0.043
item_ammo_revolver_ttt	-428.899261 -800.559021 -899.105530	-0.931 0.275 0.500
item_ammo_revolver_ttt	-406.736450 -802.185791 -898.594910	-1.138 0.228 0.569
item_ammo_revolver_ttt	-427.193451 -883.108215 -895.661438	0.451 0.064 0.053
item_ammo_revolver_ttt	-407.396912 -881.590393 -895.673950	0.449 0.068 0.058
item_ammo_revolver_ttt	-429.430054 -949.371033 -895.613403	0.461 0.055 0.034
item_ammo_revolver_ttt	-408.929230 -949.689941 -895.671753	0.449 0.068 0.057
item_ammo_revolver_ttt	605.975647 -1699.790039 -623.596863	0.479 -0.015 -0.038
item_ammo_revolver_ttt	614.414795 -1745.638428 -623.667542	0.450 0.064 0.055
item_ammo_revolver_ttt	1387.226807 -1765.977905 -623.633118	0.457 0.058 0.042
item_ammo_revolver_ttt	1419.727051 -1728.381836 -623.605042	0.463 0.054 0.030
item_ammo_revolver_ttt	-45.154980 -1149.690552 -859.661438	0.451 0.064 0.053
item_ammo_revolver_ttt	-34.092636 -1123.343750 -859.625610	0.459 0.057 0.039
weapon_zm_shotgun	773.658997 -90.257599 -1229.510010	0.000 0.000 0.000
weapon_zm_shotgun	516.607971 -543.000000 -1205.000000	0.000 0.000 0.000
weapon_zm_shotgun	1020.809998 -844.810974 -892.395996	0.000 0.000 0.000
weapon_zm_shotgun	869.145996 -1178.489990 -1228.400024	0.000 0.000 0.000
weapon_zm_shotgun	1588.130005 2060.379883 -893.510986	0.000 271.500 0.000
weapon_zm_shotgun	484.126007 -2087.520020 -1229.510010	0.000 0.000 0.000
weapon_zm_shotgun	516.000000 -1049.339966 -1185.510010	0.000 0.000 0.000
weapon_zm_shotgun	897.000000 1023.000000 -1252.140015	1.879 268.874 -98.891
weapon_zm_shotgun	847.861023 -1616.489990 -1229.510010	0.000 0.000 0.000
weapon_zm_shotgun	1290.839966 -61.052502 -1229.510010	0.000 0.000 0.000
weapon_zm_shotgun	-34.112869 -253.712387 -687.026367	-0.611 -91.107 -83.954
weapon_zm_sledge	-371.808014 -55.964199 -876.390015	0.000 0.000 0.000
weapon_zm_sledge	619.236023 2428.639893 -588.142029	0.000 0.000 0.000
weapon_zm_sledge	522.299011 -653.447998 -1197.189941	0.000 310.500 0.000
weapon_zm_sledge	1683.229980 -1615.979980 -1228.140015	0.000 310.500 0.000
weapon_zm_sledge	1029.770020 71.343803 -1228.140015	0.000 310.500 0.000
weapon_zm_sledge	-602.590393 -1829.684448 -608.344177	28.850 30.351 104.282
weapon_zm_sledge	-687.718445 -1789.112061 -568.364685	27.579 0.346 4.068
weapon_zm_sledge	-747.326050 -1769.523804 -567.617249	18.202 1.335 3.035
weapon_zm_sledge	-724.526001 -1704.011353 -586.873779	6.951 -8.926 -13.080
weapon_zm_sledge	-674.417358 -1694.112427 -586.431213	-5.087 -34.536 -146.110
weapon_zm_sledge	-597.423950 -1740.048950 -618.238525	15.843 -16.755 59.435
weapon_zm_sledge	-691.073120 -1740.960327 -574.247131	21.320 -8.696 -11.887
weapon_zm_sledge	-593.033813 -1753.414307 -613.289429	17.319 -58.888 -102.218
weapon_zm_sledge	-731.670898 -1727.861206 -563.408569	50.482 -2.758 -3.622
weapon_zm_sledge	-734.860474 -1794.479248 -568.871826	16.641 0.829 3.508
weapon_zm_sledge	-770.973389 -1730.228149 -567.627319	18.182 1.281 3.153
weapon_zm_revolver	695.000000 2303.000000 -268.511993	0.000 0.000 -90.000
weapon_zm_revolver	428.270996 -738.000000 -1202.000000	0.000 0.000 0.000
weapon_zm_revolver	-115.000000 -60.643600 -318.002014	0.000 0.000 0.000
weapon_zm_revolver	558.318970 2221.889893 -126.001999	0.000 0.000 0.000
weapon_zm_revolver	1803.000000 -1647.000000 -462.002014	0.000 0.000 0.000
weapon_zm_revolver	1764.760010 7.890950 -413.002014	0.000 0.000 0.000
weapon_zm_revolver	-70.497902 -391.726013 -892.887024	0.000 0.000 0.000
weapon_zm_revolver	1051.000000 -849.106995 -892.887024	0.000 351.004 0.000
weapon_zm_revolver	-525.202820 -945.638184 -894.056580	2.694 -20.128 -83.933
weapon_zm_revolver	-524.437378 -858.000916 -894.053162	2.659 -20.144 -84.068
weapon_zm_revolver	-516.283630 -747.002075 -894.053955	2.667 -20.138 -84.036
weapon_zm_revolver	-433.360107 -737.669434 -894.050842	2.635 -20.152 -84.159
weapon_zm_revolver	-426.672241 -821.692993 -894.065491	2.783 -20.091 -83.584
weapon_zm_revolver	-424.920471 -892.545593 -894.059998	2.728 -20.116 -83.800
weapon_zm_revolver	-426.079315 -958.897156 -894.053589	2.663 -20.143 -84.052
weapon_zm_revolver	646.264771 -1701.054810 -622.049377	2.621 -20.158 -84.216
weapon_zm_revolver	1426.861938 -1753.606201 -622.066040	2.790 -20.089 -83.561
weapon_zm_revolver	-16.245497 -1137.923584 -858.056152	2.689 -20.129 -83.951
weapon_ttt_glock	978.400024 42.477699 -618.067993	0.000 0.000 0.000
weapon_ttt_glock	-128.098999 -33.929699 -620.067993	0.000 0.000 0.000
