# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_waterworld_tropical
# Exported by: niclas
setting:	replacespawns 1
weapon_ttt_smokegrenade	-950.462708 -4198.214355 -206.403046	2.501 -0.128 -2.600
weapon_ttt_smokegrenade	-953.469238 -4189.705566 -206.397980	2.355 -0.127 -2.446
weapon_ttt_smokegrenade	-1316.027710 -4197.983887 -206.465286	1.392 0.011 -1.226
weapon_ttt_smokegrenade	-1310.558716 -4191.067871 -206.410080	2.627 -0.128 -2.718
weapon_ttt_smokegrenade	-133.321747 -2485.395752 -254.299850	-50.054 158.155 93.280
weapon_ttt_smokegrenade	-1455.610718 -2432.541504 -242.675812	3.140 0.802 -103.231
weapon_ttt_smokegrenade	-701.459961 -2457.675049 -254.226791	-89.734 149.392 129.232
weapon_ttt_smokegrenade	-75.778984 -2402.036377 -242.802704	69.019 -13.839 -133.365
weapon_ttt_smokegrenade	1298.113281 -2326.817383 -233.003143	1.235 1.669 -7.075
weapon_ttt_smokegrenade	112.144081 -1099.456909 328.575531	3.059 -0.123 -3.147
weapon_ttt_smokegrenade	634.484131 -3317.877197 228.615280	1.966 -0.119 -2.039
weapon_ttt_smokegrenade	2831.618164 -2757.557617 258.120453	0.343 0.035 6.096
weapon_ttt_smokegrenade	2831.275391 -2745.190186 258.552643	0.351 0.036 6.099
weapon_ttt_smokegrenade	2807.765137 -1081.485718 -251.442947	3.505 -0.116 -3.612
weapon_ttt_smokegrenade	2802.594482 -1106.254883 -251.397034	2.322 -0.126 -2.395
weapon_ttt_smokegrenade	2338.128174 1154.920166 -203.481155	0.437 0.004 -0.116
weapon_ttt_smokegrenade	728.227112 249.218979 -272.447113	3.612 -0.108 -3.724
weapon_ttt_smokegrenade	132.867905 697.731934 -251.474365	0.635 0.009 -0.347
weapon_ttt_smokegrenade	-566.870361 743.507324 -251.466537	1.172 0.012 -0.954
weapon_ttt_smokegrenade	-815.267395 519.235168 -11.733621	1.810 2.093 3.957
weapon_ttt_smokegrenade	-3635.079834 641.323120 -211.930801	-0.173 1.147 2.631
weapon_ttt_smokegrenade	-3634.592773 659.647644 -211.925186	1.307 -0.019 2.558
weapon_ttt_smokegrenade	-3650.715576 662.091858 -212.015228	0.123 0.014 0.732
weapon_ttt_smokegrenade	-3666.876221 661.255615 -211.959778	1.466 -0.004 2.870
weapon_ttt_smokegrenade	-3716.890869 654.976746 -211.974701	1.223 -0.026 2.400
weapon_ttt_smokegrenade	-3713.963135 634.995667 -211.889542	-0.172 0.088 2.285
weapon_ttt_smokegrenade	-3007.973145 -1478.720337 -243.415955	2.730 -0.135 -2.802
ttt_random_weapon	-426.672180 -4675.060059 -254.801331	1.890 4.927 -92.563	auto_ammo 2
ttt_random_weapon	-705.785828 -4757.471680 -254.806046	1.943 4.925 -92.441	auto_ammo 2
ttt_random_weapon	-682.830933 -4660.379395 -254.791885	1.784 4.928 -92.806	auto_ammo 2
ttt_random_weapon	-752.953430 -3804.240479 -254.809418	1.981 4.920 -92.354	auto_ammo 2
ttt_random_weapon	-1549.318970 -3809.065918 -254.782806	1.681 4.924 -93.041	auto_ammo 2
ttt_random_weapon	-2262.049316 -3963.454102 -231.783646	-2.499 -1.024 100.394	auto_ammo 2
ttt_random_weapon	-2811.116699 -3860.113770 -254.786789	1.726 4.926 -92.938	auto_ammo 2
ttt_random_weapon	-2670.408691 -3860.937988 -254.807709	1.962 4.927 -92.398	auto_ammo 2
ttt_random_weapon	-2144.804443 -3651.760254 -254.797028	1.842 4.927 -92.673	auto_ammo 2
ttt_random_weapon	-2393.392090 -3659.777588 -254.762497	1.451 4.906 -93.567	auto_ammo 2
ttt_random_weapon	-3035.225586 -3590.315918 -254.782349	1.676 4.924 -93.053	auto_ammo 2
ttt_random_weapon	-3099.126221 -3913.996094 -254.778076	1.628 4.921 -93.163	auto_ammo 2
ttt_random_weapon	-1260.480103 -3939.300293 -213.584793	1.678 4.766 -93.049	auto_ammo 2
ttt_random_weapon	-1321.557129 -3668.585938 -254.773087	1.571 4.917 -93.293	auto_ammo 2
ttt_random_weapon	-1149.010498 -3601.685303 -254.779282	1.642 4.922 -93.132	auto_ammo 2
ttt_random_weapon	-953.120728 -3644.047852 -254.797729	1.850 4.928 -92.656	auto_ammo 2
ttt_random_weapon	-903.492249 -3981.673096 -213.528229	1.199 3.120 -94.825	auto_ammo 2
ttt_random_weapon	-1066.729492 -4186.576172 -254.772781	1.568 4.917 -93.301	auto_ammo 2
ttt_random_weapon	-1173.559814 -4188.469727 -254.796356	1.834 4.930 -92.691	auto_ammo 2
ttt_random_weapon	-1270.966431 -4129.770996 -254.766006	1.491 4.910 -93.476	auto_ammo 2
ttt_random_weapon	-1367.347168 -3978.740479 -213.337143	1.814 4.776 -92.736	auto_ammo 2
ttt_random_weapon	-1593.478027 -3301.369385 -233.409409	1.950 4.453 -90.926	auto_ammo 2
ttt_random_weapon	-766.802612 -3312.051758 -230.285248	-6.556 -10.230 173.915	auto_ammo 2
ttt_random_weapon	148.608627 -3226.440186 -254.325958	-1.064 4.662 -95.711	auto_ammo 2
ttt_random_weapon	-689.252319 -2474.088135 -235.151016	1.710 3.644 -102.809	auto_ammo 2
ttt_random_weapon	-796.125916 -2467.194824 -236.323410	3.404 0.598 -103.052	auto_ammo 2
ttt_random_weapon	-1212.272461 -2561.242920 -241.480606	-1.927 3.206 78.018	auto_ammo 2
ttt_random_weapon	-1323.553589 -2539.729492 -237.816757	-2.745 -2.282 96.691	auto_ammo 2
ttt_random_weapon	-2984.578857 -2991.716309 -254.773407	1.575 4.917 -93.284	auto_ammo 2
ttt_random_weapon	-2472.041504 -3105.109131 -254.771255	1.551 4.915 -93.340	auto_ammo 2
ttt_random_weapon	-3083.737549 -2576.379395 -254.806046	1.943 4.925 -92.441	auto_ammo 2
ttt_random_weapon	-2818.204102 -2368.858154 -254.753540	1.357 4.541 -93.879	auto_ammo 2
ttt_random_weapon	-2716.868408 -2299.384033 -254.783279	1.687 4.924 -93.029	auto_ammo 2
ttt_random_weapon	-3240.984863 -2146.723389 -254.802856	1.907 4.928 -92.523	auto_ammo 2
ttt_random_weapon	-3236.717041 -2283.574219 -254.786270	1.720 4.926 -92.952	auto_ammo 2
ttt_random_weapon	-2720.983154 -3106.686279 -254.776917	1.615 4.920 -93.193	auto_ammo 2
ttt_random_weapon	-2708.559326 -1697.760620 -246.772919	1.569 4.985 -93.297	auto_ammo 2
ttt_random_weapon	-2707.518311 -1573.914551 -246.779907	1.648 4.988 -93.116	auto_ammo 2
ttt_random_weapon	-2705.170410 -1290.344238 -246.782562	1.679 4.989 -93.047	auto_ammo 2
ttt_random_weapon	-2710.670166 -1148.993286 -246.782562	1.679 4.988 -93.047	auto_ammo 2
ttt_random_weapon	-2711.214355 -1025.649048 -246.771683	1.556 4.984 -93.329	auto_ammo 2
ttt_random_weapon	-3245.227539 -1420.226563 -254.787323	1.732 4.927 -92.924	auto_ammo 2
ttt_random_weapon	-3259.318359 -1046.409912 -254.768295	1.517 4.913 -93.417	auto_ammo 2
ttt_random_weapon	-3249.713135 -703.231323 -254.780563	1.656 4.923 -93.099	auto_ammo 2
ttt_random_weapon	-3255.775391 -598.796875 -254.780136	1.651 4.923 -93.110	auto_ammo 2
ttt_random_weapon	-3056.454102 -108.282021 -254.765381	1.484 4.910 -93.492	auto_ammo 2
ttt_random_weapon	-3001.175537 -431.164795 -254.802094	1.899 4.927 -92.543	auto_ammo 2
ttt_random_weapon	-2254.105713 -185.100922 -203.708969	-2.653 5.433 -97.869	auto_ammo 2
ttt_random_weapon	-1996.716675 -369.384674 -193.731262	2.202 3.694 -93.156	auto_ammo 2
ttt_random_weapon	-1771.367676 -526.294373 -223.477570	7.648 -10.532 88.806	auto_ammo 2
ttt_random_weapon	-2639.093018 828.271545 -254.812088	2.011 4.924 -92.285	auto_ammo 2
ttt_random_weapon	-2589.210449 820.320984 -254.762024	1.446 4.906 -93.579	auto_ammo 2
ttt_random_weapon	-3074.279297 831.773499 -216.706863	1.546 2.963 -93.246	auto_ammo 2
ttt_random_weapon	-3095.144775 664.489197 -216.675491	1.436 5.187 -94.080	auto_ammo 2
ttt_random_weapon	-3178.159668 593.062439 -216.682648	1.443 5.358 -93.587	auto_ammo 2
ttt_random_weapon	-3236.116699 174.465515 -218.355850	1.639 4.764 -93.139	auto_ammo 2
ttt_random_weapon	-3146.937256 378.679443 -218.358429	1.668 4.766 -93.072	auto_ammo 2
ttt_random_weapon	-2863.468262 535.242310 -218.363281	1.722 4.769 -92.947	auto_ammo 2
ttt_random_weapon	-3396.996582 413.954773 -215.819931	1.449 4.671 -93.487	auto_ammo 2
ttt_random_weapon	-3767.848877 415.176300 -215.822800	1.471 4.675 -93.436	auto_ammo 2
ttt_random_weapon	-3715.330078 787.064941 -223.093262	1.297 3.068 -94.000	auto_ammo 2
ttt_random_weapon	-3750.658936 937.251587 -215.320786	1.705 4.904 -93.072	auto_ammo 2
ttt_random_weapon	-3451.669922 930.051575 -215.329712	1.711 4.906 -93.060	auto_ammo 2
ttt_random_weapon	-3275.149658 849.854309 -215.831940	1.611 4.892 -93.289	auto_ammo 2
ttt_random_weapon	-3246.444336 586.101929 -216.680725	1.421 4.746 -93.637	auto_ammo 2
ttt_random_weapon	-3178.936768 1005.820557 -254.786789	1.726 4.926 -92.938	auto_ammo 2
ttt_random_weapon	-3028.981934 1007.211670 -254.780136	1.651 4.923 -93.110	auto_ammo 2
ttt_random_weapon	-2550.963379 1282.542236 -254.756485	1.383 4.899 -93.723	auto_ammo 2
ttt_random_weapon	-2770.116699 1265.021118 -254.777298	1.619 4.920 -93.184	auto_ammo 2
ttt_random_weapon	-2073.285400 1395.344238 -254.779709	1.646 4.922 -93.121	auto_ammo 2
ttt_random_weapon	-2493.732910 1370.215576 -254.767334	1.506 4.912 -93.442	auto_ammo 2
ttt_random_weapon	-1998.792236 928.936523 -254.766190	1.457 4.379 -93.515	auto_ammo 2
ttt_random_weapon	-922.304565 707.919739 -254.762329	1.450 4.673 -93.572	auto_ammo 2
ttt_random_weapon	-1179.322144 591.508118 -256.589447	2.108 2.557 -93.001	auto_ammo 2
ttt_random_weapon	-769.680237 216.680878 -7.547902	1.405 4.567 -92.773	auto_ammo 2
ttt_random_weapon	-685.583740 347.370453 -8.396066	0.167 17.081 -94.515	auto_ammo 2
ttt_random_weapon	-755.559998 293.373444 -8.041604	1.177 5.676 -96.055	auto_ammo 2
ttt_random_weapon	-611.492065 411.182709 -10.690233	2.596 9.121 -94.455	auto_ammo 2
ttt_random_weapon	-107.377487 713.851379 -233.469910	2.243 6.797 -91.281	auto_ammo 2
ttt_random_weapon	-224.771194 714.455566 -233.418472	1.950 4.899 -90.957	auto_ammo 2
ttt_random_weapon	339.846924 630.305298 -275.766663	1.499 4.911 -93.459	auto_ammo 2
ttt_random_weapon	1095.166260 651.137390 -275.804413	1.925 4.924 -92.483	auto_ammo 2
ttt_random_weapon	1783.726318 1059.888306 -164.795685	1.827 4.929 -92.708	auto_ammo 2
ttt_random_weapon	2129.709229 1062.200073 -164.786789	1.726 4.927 -92.938	auto_ammo 2
ttt_random_weapon	2141.860840 1004.708618 -185.779282	1.642 4.922 -93.132	auto_ammo 2
ttt_random_weapon	1824.950195 1003.715881 -185.774734	1.590 4.919 -93.250	auto_ammo 2
ttt_random_weapon	1324.174927 1020.451599 -206.779282	1.642 4.922 -93.132	auto_ammo 2
ttt_random_weapon	1370.694946 1100.003418 -206.808563	1.972 4.920 -92.376	auto_ammo 2
ttt_random_weapon	1224.989746 960.889221 -206.784744	1.703 4.925 -92.991	auto_ammo 2
ttt_random_weapon	1679.213379 7.566991 -34.773235	1.573 4.985 -93.289	auto_ammo 2
ttt_random_weapon	1927.677612 -8.904695 113.234116	1.490 4.975 -93.479	auto_ammo 2
ttt_random_weapon	2057.146729 -199.524475 289.227386	1.566 4.984 -93.305	auto_ammo 2
ttt_random_weapon	2770.884033 -1754.687012 -254.784744	1.703 4.926 -92.991	auto_ammo 2
ttt_random_weapon	2621.791748 -48.227386 -206.772766	1.568 4.916 -93.301	auto_ammo 2
ttt_random_weapon	2400.578125 -52.010082 -206.774750	1.590 4.918 -93.249	auto_ammo 2
ttt_random_weapon	2799.108154 1150.174194 -206.770233	1.539 5.387 -93.366	auto_ammo 2
ttt_random_weapon	2500.991699 1581.941040 -206.799133	1.865 4.929 -92.619	auto_ammo 2
ttt_random_weapon	2495.474854 1470.167236 -206.780991	1.661 4.923 -93.088	auto_ammo 2
ttt_random_weapon	2511.091797 1484.753784 77.239769	1.426 4.904 -93.626	auto_ammo 2
ttt_random_weapon	2521.864990 1575.137085 77.236153	1.467 4.908 -93.532	auto_ammo 2
ttt_random_weapon	2036.560791 1236.105713 213.677170	4.516 3.321 -96.116	auto_ammo 2
ttt_random_weapon	2432.469482 1296.833618 213.217941	1.673 4.766 -93.061	auto_ammo 2
ttt_random_weapon	2458.208252 1235.051514 213.220566	1.643 4.764 -93.128	auto_ammo 2
ttt_random_weapon	1511.445923 1157.467529 213.216721	1.687 4.924 -93.029	auto_ammo 2
ttt_random_weapon	1446.969971 1083.931152 213.240814	1.414 4.902 -93.653	auto_ammo 2
ttt_random_weapon	1422.838623 1301.161621 77.202965	1.842 4.927 -92.673	auto_ammo 2
ttt_random_weapon	1424.508423 1394.439331 77.189697	1.991 4.921 -92.331	auto_ammo 2
ttt_random_weapon	1423.401367 1289.604492 -206.775803	1.602 4.919 -93.222	auto_ammo 2
ttt_random_weapon	1417.266113 1382.369751 -206.759399	1.416 4.903 -93.647	auto_ammo 2
ttt_random_weapon	844.320862 -359.771942 -206.785751	1.715 4.926 -92.965	auto_ammo 2
ttt_random_weapon	862.001404 -145.369186 -206.797714	1.850 4.928 -92.656	auto_ammo 2
ttt_random_weapon	1107.766235 -366.572235 -206.790100	1.764 4.928 -92.852	auto_ammo 2
ttt_random_weapon	1156.698242 -135.738129 -206.766205	1.494 4.910 -93.471	auto_ammo 2
ttt_random_weapon	799.070251 253.885117 -254.386734	1.374 3.267 -91.547	auto_ammo 2
ttt_random_weapon	1036.111084 350.412933 -253.853073	4.613 -21.295 -96.296	auto_ammo 2
ttt_random_weapon	1032.154297 432.832520 -253.629425	6.042 -6.019 -95.536	auto_ammo 2
ttt_random_weapon	632.022034 -1591.609253 -183.793762	9.970 5.686 -88.636	auto_ammo 2
ttt_random_weapon	327.302094 -1757.212891 -178.854340	4.577 9.825 -92.491	auto_ammo 2
ttt_random_weapon	1398.248047 -2480.941895 -254.885406	1.553 3.937 -93.140	auto_ammo 2
ttt_random_weapon	934.156738 -2544.973877 -254.782791	1.681 4.501 -93.041	auto_ammo 2
ttt_random_weapon	876.514160 -2308.334961 -260.372040	2.237 6.234 -103.093	auto_ammo 2
ttt_random_weapon	362.079498 -2433.943359 -235.795471	0.196 -6.996 96.724	auto_ammo 2
ttt_random_weapon	243.449127 -2441.954834 -236.798828	-4.396 -7.037 59.254	auto_ammo 2
ttt_random_weapon	580.800476 -2439.414063 -233.426315	-0.836 -13.803 96.901	auto_ammo 2
ttt_random_weapon	701.250854 -2459.350830 -238.468246	7.644 8.706 3.243	auto_ammo 2
ttt_random_weapon	357.595825 -3851.017578 -232.853958	0.206 -0.719 -102.568	auto_ammo 2
ttt_random_weapon	650.734131 -3875.679199 -233.463608	2.071 8.152 -90.954	auto_ammo 2
ttt_random_weapon	-193.430313 -3636.999023 -254.782349	1.676 4.924 -93.053	auto_ammo 2
ttt_random_weapon	-63.486748 -3636.780518 -254.781891	1.671 4.924 -93.065	auto_ammo 2
ttt_random_weapon	511.764099 -3655.872070 -233.405945	1.972 7.304 -91.413	auto_ammo 2
ttt_random_weapon	515.173950 -3626.007568 -233.407928	1.858 3.667 -90.491	auto_ammo 2
ttt_random_weapon	893.826721 -3841.540527 -254.782822	1.681 4.924 -93.041	auto_ammo 2
ttt_random_weapon	1277.764038 -2820.846191 -254.801331	1.890 4.927 -92.563	auto_ammo 2
ttt_random_weapon	1539.023682 -2811.421875 -254.806046	1.943 4.925 -92.441	auto_ammo 2
ttt_random_weapon	1788.254395 -2807.293213 -254.790695	1.770 4.927 -92.837	auto_ammo 2
ttt_random_weapon	2149.299805 -3300.076172 -213.603119	1.885 4.781 -92.575	auto_ammo 2
ttt_random_weapon	2168.192139 -3066.505127 -254.790100	1.764 4.928 -92.852	auto_ammo 2
ttt_random_weapon	2400.840332 -3139.405518 -254.801331	1.890 4.927 -92.563	auto_ammo 2
ttt_random_weapon	2652.603271 -3176.479248 -254.796356	1.834 4.930 -92.691	auto_ammo 2
ttt_random_weapon	2870.971924 -2491.312744 -254.784744	1.703 4.926 -92.991	auto_ammo 2
ttt_random_weapon	2885.390137 -2587.334961 -254.789536	1.757 4.928 -92.867	auto_ammo 2
ttt_random_weapon	2374.194092 -2405.190918 -254.793106	1.798 4.929 -92.775	auto_ammo 2
ttt_random_weapon	1703.246582 -2490.683350 -254.790100	1.764 4.928 -92.852	auto_ammo 2
ttt_random_weapon	2303.515137 -2281.030518 -254.799133	1.865 4.929 -92.619	auto_ammo 2
ttt_random_weapon	2324.613037 -2771.838623 -254.797028	1.842 4.927 -92.674	auto_ammo 2
ttt_random_weapon	2517.154541 -3242.241211 -117.788582	1.747 4.706 -92.892	auto_ammo 2
ttt_random_weapon	2278.701660 -3138.151367 -66.762344	1.450 4.565 -93.571	auto_ammo 2
ttt_random_weapon	2307.160645 -2560.597412 -66.760925	1.434 4.664 -93.608	auto_ammo 2
ttt_random_weapon	2137.910645 -2884.327393 -66.773483	1.576 5.070 -93.282	auto_ammo 2
ttt_random_weapon	2125.861816 -2810.931641 -66.781601	1.668 5.087 -93.072	auto_ammo 2
ttt_random_weapon	2844.133057 -3203.675049 254.746765	3.191 8.823 -91.841	auto_ammo 2
ttt_random_weapon	2835.227051 -2621.128418 255.766617	7.198 6.616 -90.631	auto_ammo 2
ttt_random_weapon	965.982788 -3255.391602 215.532394	-5.150 5.478 -98.445	auto_ammo 2
ttt_random_weapon	919.028076 -3184.059570 213.910156	-4.681 -6.509 91.555	auto_ammo 2
ttt_random_weapon	2330.723877 -3290.662109 294.346436	-7.598 4.545 -98.684	auto_ammo 2
ttt_random_weapon	2553.655273 -3287.212646 294.957733	2.721 7.737 -99.404	auto_ammo 2
ttt_random_weapon	2431.061768 -3480.002686 305.164215	1.784 4.503 -92.497	auto_ammo 2
ttt_random_weapon	2435.702148 -3401.849365 305.215271	1.703 4.926 -92.991	auto_ammo 2
ttt_random_weapon	2431.301514 -3505.043457 25.204971	1.819 4.928 -92.725	auto_ammo 2
ttt_random_weapon	2417.072754 -3399.976318 25.206259	1.805 4.927 -92.758	auto_ammo 2
ttt_random_weapon	356.389069 -3283.173340 350.187653	2.362 3.084 -92.199	auto_ammo 2
ttt_random_weapon	-530.806580 -3341.073242 193.206696	1.800 4.711 -92.770	auto_ammo 2
ttt_random_weapon	-723.789185 -3342.886963 193.217041	1.683 4.700 -93.037	auto_ammo 2
ttt_random_weapon	-969.222961 -3343.057129 193.224075	1.604 4.689 -93.219	auto_ammo 2
ttt_random_weapon	-1901.155273 -3342.741699 193.216095	1.694 4.700 -93.012	auto_ammo 2
ttt_random_weapon	-2629.948242 -3288.142578 367.459290	1.130 3.015 -95.137	auto_ammo 2
ttt_random_weapon	-3310.779297 -3303.779541 225.204102	1.829 4.713 -92.703	auto_ammo 2
ttt_random_weapon	-3280.835938 769.658264 253.212509	1.734 4.705 -92.920	auto_ammo 2
ttt_random_weapon	-3227.745850 526.233337 71.412201	1.462 4.750 -93.544	auto_ammo 2
ttt_random_weapon	-3144.526123 745.546570 71.396561	1.639 4.764 -93.139	auto_ammo 2
ttt_random_weapon	-2975.461670 795.551025 71.386978	1.747 4.771 -92.891	auto_ammo 2
ttt_random_weapon	-1039.771240 -818.578125 -232.574127	0.918 -0.263 -94.068	auto_ammo 2
ttt_random_weapon	-1024.853271 -1028.227173 -232.548203	1.330 -24.113 -93.841	auto_ammo 2
ttt_random_weapon	-1171.948853 -1150.644043 -232.564255	1.515 4.754 -93.421	auto_ammo 2
ttt_random_weapon	-1400.689331 -1080.550293 -232.559357	1.215 4.999 -93.829	auto_ammo 2
ttt_random_weapon	-1395.053223 -797.214355 -232.058105	-2.322 -34.403 85.568	auto_ammo 2
ttt_random_weapon	-1271.406128 -840.379700 -236.321579	1.639 4.764 -93.139	auto_ammo 2
ttt_random_weapon	-1204.651611 -838.389587 -236.569778	1.542 4.757 -93.360	auto_ammo 2
ttt_random_weapon	-1275.433105 -1021.956909 -237.796951	1.559 4.758 -93.322	auto_ammo 2
ttt_random_weapon	-591.626038 -710.949524 -256.670410	1.846 6.613 -91.485	auto_ammo 2
ttt_random_weapon	-463.305511 -712.783081 -256.755768	1.129 8.804 -90.990	auto_ammo 2
ttt_random_weapon	-298.965912 -727.942505 -241.325760	1.694 4.768 -93.012	auto_ammo 2
ttt_random_weapon	-268.373016 -1045.070923 -255.800018	-3.804 -1.192 79.019	auto_ammo 2
ttt_random_weapon	-154.477432 -1025.224365 -256.739075	1.776 2.779 -91.117	auto_ammo 2
ttt_random_weapon	144.431198 -999.206116 -278.049774	1.692 4.615 -93.016	auto_ammo 2
ttt_random_weapon	154.481583 -859.467834 -278.046844	1.659 4.238 -93.091	auto_ammo 2
ttt_random_weapon	-944.880188 -1415.796753 -229.947708	4.191 4.871 -94.132	auto_ammo 2
ttt_random_weapon	-1331.005005 -1293.172729 -256.714203	1.785 3.257 -90.799	auto_ammo 2
ttt_random_weapon	-1657.551025 -968.419434 -278.068542	1.904 4.588 -92.531	auto_ammo 2
ttt_random_weapon	-763.942139 -644.356934 -278.035645	1.533 4.271 -93.382	auto_ammo 2
ttt_random_weapon	-69.416313 -873.276672 325.220551	1.643 4.764 -93.128	auto_ammo 2
ttt_random_weapon	-60.650703 -923.763123 325.211395	1.747 4.771 -92.891	auto_ammo 2
ttt_random_weapon	155.148941 -942.019165 325.220978	1.639 4.764 -93.139	auto_ammo 2
ttt_random_weapon	-2307.327881 -2476.495605 -254.766510	1.497 4.675 -93.463	auto_ammo 2
ttt_random_weapon	-2300.434570 -2373.821045 -259.146454	1.128 8.223 -98.937	auto_ammo 2
ttt_random_weapon	-2373.418457 -2436.258545 -254.810303	1.195 7.581 -98.132	auto_ammo 2
ttt_random_weapon	-2368.202637 -2362.543945 -264.422546	-0.385 8.449 -105.926	auto_ammo 2
ttt_random_ammo	3086.399414 -2872.203369 -255.619003	0.190 0.001 0.171
ttt_random_ammo	3045.614014 -2875.196045 -255.608688	0.535 0.004 0.596
