# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_rooftops_2016_v1
# Exported by: niclas
setting:	replacespawns 1
weapon_ttt_smokegrenade	505.287994 2198.669922 305.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	489.855988 2198.899902 305.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	718.000000 2352.000000 318.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	149.800995 2552.739990 304.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	403.894989 2250.560059 422.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1888.959961 1706.109985 773.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1782.949951 1700.430054 389.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	2708.000000 1456.000000 773.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	3395.919922 2404.189941 645.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	3088.000000 1248.000000 453.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1801.469971 1086.300049 261.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1590.699951 90.849297 71.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1578.079956 89.200996 71.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1942.680054 -192.332001 390.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1905.699951 32.869701 390.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	920.000000 -1440.000000 581.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	465.270996 -1060.300049 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	159.960999 81.726501 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	-111.920998 -101.806999 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	762.304993 -23.528500 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1262.140015 396.980011 389.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-712.799011 -12.701500 -184.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-707.219971 -796.322021 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1197.000000 -180.000000 99.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1244.079956 -52.781601 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	786.000000 32.000000 110.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1322.000000 126.000000 82.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1318.000000 234.000000 81.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	2932.000000 1240.000000 1288.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	2549.669922 632.203979 375.148010	0.000 0.000 0.000
weapon_ttt_smokegrenade	2528.000000 -131.000000 371.399994	0.000 0.000 0.000
weapon_ttt_smokegrenade	1902.560059 -45.135201 110.203003	0.000 355.500 0.000
weapon_ttt_smokegrenade	3808.000000 2392.000000 420.316986	0.000 0.000 0.000
weapon_ttt_smokegrenade	3156.000000 -869.000000 323.487000	0.000 0.000 0.000
ttt_random_weapon	1907.579102 -1188.762329 65.196365	1.916 4.929 -92.503	auto_ammo 2
ttt_random_weapon	2131.535400 -824.372131 109.202965	1.842 4.927 -92.673	auto_ammo 2
ttt_random_weapon	2509.641846 -805.827271 193.198669	1.890 4.927 -92.563	auto_ammo 2
ttt_random_weapon	2690.409424 -1376.347168 737.210938	1.751 4.637 -92.880	auto_ammo 2
ttt_random_weapon	3309.349121 -1481.679199 349.210541	1.732 5.716 -93.018	auto_ammo 2
ttt_random_weapon	3279.718506 -843.182556 65.227844	1.561 4.916 -93.317	auto_ammo 2
ttt_random_weapon	3124.609619 -601.228455 65.198669	1.890 4.927 -92.563	auto_ammo 2
ttt_random_weapon	2913.755371 -649.004700 321.187927	2.011 4.924 -92.285	auto_ammo 2
ttt_random_weapon	2785.925781 -886.975525 321.224548	1.598 4.919 -93.231	auto_ammo 2
ttt_random_weapon	3167.777832 -173.372742 370.020325	1.897 3.368 -91.930	auto_ammo 2
ttt_random_weapon	3102.988281 212.925613 369.196075	1.919 4.783 -92.496	auto_ammo 2
ttt_random_weapon	2709.914551 361.262207 373.719452	1.134 3.454 -93.264	auto_ammo 2
ttt_random_weapon	2927.991455 -54.755779 385.181671	1.893 4.717 -92.557	auto_ammo 2
ttt_random_weapon	2839.129150 -78.479324 385.192932	1.766 4.708 -92.848	auto_ammo 2
ttt_random_weapon	2845.865723 -40.718666 385.181671	1.893 4.717 -92.556	auto_ammo 2
ttt_random_weapon	2043.466919 275.818329 386.199432	1.882 4.926 -92.582	auto_ammo 2
ttt_random_weapon	1978.944214 199.158905 386.760681	-2.021 -1.603 86.857	auto_ammo 2
ttt_random_weapon	1891.868408 -219.342728 386.208740	1.777 4.927 -92.822	auto_ammo 2
ttt_random_weapon	2695.718750 59.219593 111.212486	1.734 4.770 -92.919	auto_ammo 2
ttt_random_weapon	2679.877197 368.295654 111.205391	1.814 4.776 -92.736	auto_ammo 2
ttt_random_weapon	3209.438721 426.668640 175.226212	1.814 4.776 -92.736	auto_ammo 2
ttt_random_weapon	3120.417969 -15.065415 111.206665	1.800 4.775 -92.769	auto_ammo 2
ttt_random_weapon	2996.175293 -150.000443 239.278519	1.919 4.783 -92.496	auto_ammo 2
ttt_random_weapon	2713.997314 1022.920532 130.759338	-4.462 -0.196 -5.272	auto_ammo 2
ttt_random_weapon	2366.785400 1158.875732 385.200867	1.865 4.929 -92.619	auto_ammo 2
ttt_random_weapon	2446.996094 1150.740112 385.210480	1.757 4.928 -92.867	auto_ammo 2
ttt_random_weapon	3238.898682 234.855301 627.199951	1.876 4.716 -92.595	auto_ammo 2
ttt_random_weapon	3229.254883 170.242462 627.211975	1.740 4.705 -92.906	auto_ammo 2
ttt_random_weapon	3228.436523 1193.824219 385.200165	1.874 4.930 -92.601	auto_ammo 2
ttt_random_weapon	3136.113525 1260.260498 449.211578	1.745 4.927 -92.896	auto_ammo 2
ttt_random_weapon	3112.529297 1489.382446 607.471252	1.569 4.759 -93.298	auto_ammo 2
ttt_random_weapon	3456.057373 1719.744751 257.204315	1.827 4.929 -92.708	auto_ammo 2
ttt_random_weapon	3736.863525 1705.061279 253.210464	1.757 4.928 -92.867	auto_ammo 2
ttt_random_weapon	3933.150146 2229.003662 385.240143	1.405 4.579 -93.738	auto_ammo 2
ttt_random_weapon	3759.194092 1789.184570 510.448059	-2.300 3.735 -44.574	auto_ammo 2
ttt_random_weapon	3552.122559 1803.842407 513.227234	1.568 4.917 -93.301	auto_ammo 2
ttt_random_weapon	3814.786621 1958.489746 705.197144	1.907 4.928 -92.524	auto_ammo 2
ttt_random_weapon	3821.881592 2007.122070 705.222717	1.619 4.921 -93.184	auto_ammo 2
ttt_random_weapon	3902.406250 2521.780029 641.200195	1.874 4.930 -92.600	auto_ammo 2
ttt_random_weapon	3374.058594 2423.484863 641.209351	1.770 4.927 -92.837	auto_ammo 2
ttt_random_weapon	3312.275146 2045.862549 769.212158	1.738 4.926 -92.910	auto_ammo 2
ttt_random_weapon	3315.084473 2138.120850 769.204346	1.827 4.929 -92.708	auto_ammo 2
ttt_random_weapon	3617.613037 2119.702637 938.047424	30.127 17.528 -85.456	auto_ammo 2
ttt_random_weapon	2540.314697 1998.595947 769.193726	1.946 4.720 -92.434	auto_ammo 2
ttt_random_weapon	2521.747559 2110.875977 769.210876	1.753 4.706 -92.877	auto_ammo 2
ttt_random_weapon	2880.942383 1323.474365 1281.195557	1.926 4.922 -92.481	auto_ammo 2
ttt_random_weapon	2977.023193 1326.957153 1281.204956	1.820 4.927 -92.724	auto_ammo 2
ttt_random_weapon	2953.646484 1436.408203 1281.204346	1.827 4.927 -92.707	auto_ammo 2
ttt_random_weapon	2829.892822 1160.352539 769.215271	1.703 4.926 -92.991	auto_ammo 2
ttt_random_weapon	2649.982666 1619.798828 381.200623	1.868 4.716 -92.614	auto_ammo 2
ttt_random_weapon	2561.921387 1610.838867 381.191162	1.974 4.720 -92.370	auto_ammo 2
ttt_random_weapon	3161.565674 1978.942871 351.449524	1.814 4.776 -92.736	auto_ammo 2
ttt_random_weapon	1941.684448 2031.158813 257.196381	1.916 4.929 -92.503	auto_ammo 2
ttt_random_weapon	1628.411743 1759.327026 385.200165	1.874 4.930 -92.601	auto_ammo 2
ttt_random_weapon	1567.723755 1755.947388 385.212158	1.738 4.926 -92.910	auto_ammo 2
ttt_random_weapon	1600.181885 1642.671875 771.247620	0.613 0.226 -94.479	auto_ammo 2
ttt_random_weapon	1321.650269 2425.430420 769.193970	1.943 4.925 -92.441	auto_ammo 2
ttt_random_weapon	1100.388184 2397.588379 769.198914	1.888 4.201 -92.568	auto_ammo 2
ttt_random_weapon	1194.050171 2781.195801 513.199402	1.882 4.926 -92.582	auto_ammo 2
ttt_random_weapon	732.995911 2688.328857 258.703156	1.840 4.377 -92.679	auto_ammo 2
ttt_random_weapon	263.266968 2696.987549 258.703156	1.840 4.377 -92.678	auto_ammo 2
ttt_random_weapon	530.647217 2439.371826 418.202057	1.852 4.715 -92.650	auto_ammo 2
ttt_random_weapon	343.689331 2440.245361 418.207306	1.793 4.710 -92.786	auto_ammo 2
ttt_random_weapon	274.134827 2534.988770 258.725433	1.588 4.601 -93.254	auto_ammo 2
ttt_random_weapon	581.580750 2542.709473 258.699799	1.877 4.622 -92.592	auto_ammo 2
ttt_random_weapon	568.722107 2198.215820 298.721741	1.630 4.605 -93.159	auto_ammo 2
ttt_random_weapon	-435.551086 1994.378052 258.721619	1.631 4.365 -93.156	auto_ammo 2
ttt_random_weapon	-427.429413 2141.487061 260.731018	1.525 4.355 -93.399	auto_ammo 2
ttt_random_weapon	689.357422 1894.849487 258.688141	2.008 4.376 -92.292	auto_ammo 2
ttt_random_weapon	336.577118 1355.291260 257.217651	1.676 4.924 -93.053	auto_ammo 2
ttt_random_weapon	-188.503754 1355.373901 257.205627	1.812 4.928 -92.742	auto_ammo 2
ttt_random_weapon	-236.154037 734.029541 257.184357	1.143 4.106 -93.323	auto_ammo 2
ttt_random_weapon	796.719971 1382.060669 257.203644	1.834 4.930 -92.691	auto_ammo 2
ttt_random_weapon	840.253357 734.352783 257.213226	1.726 4.927 -92.938	auto_ammo 2
ttt_random_weapon	1341.638184 1359.785156 257.199402	1.882 4.926 -92.582	auto_ammo 2
ttt_random_weapon	1349.599609 418.855896 385.199921	1.876 4.716 -92.595	auto_ammo 2
ttt_random_weapon	1300.196655 -351.587860 385.208527	1.779 4.709 -92.817	auto_ammo 2
ttt_random_weapon	1217.462769 197.910461 553.821350	1.916 4.929 -92.503	auto_ammo 2
ttt_random_weapon	788.235413 193.415009 197.226578	1.575 4.918 -93.284	auto_ammo 2
ttt_random_weapon	867.914307 -27.790291 65.195328	1.928 4.718 -92.476	auto_ammo 2
ttt_random_weapon	727.725220 -24.088333 65.218414	1.667 4.697 -93.073	auto_ammo 2
ttt_random_weapon	-208.592316 203.470840 65.218559	1.666 4.923 -93.076	auto_ammo 2
ttt_random_weapon	-129.476608 200.499527 65.228745	1.551 4.915 -93.340	auto_ammo 2
ttt_random_weapon	-680.414368 -811.685181 65.209106	1.773 4.773 -92.832	auto_ammo 2
ttt_random_weapon	488.309174 -746.198181 65.199409	1.882 4.928 -92.582	auto_ammo 2
ttt_random_weapon	701.586670 -729.846191 65.197060	1.908 4.639 -92.521	auto_ammo 2
ttt_random_weapon	1268.061768 -851.166626 65.194778	1.934 4.924 -92.462	auto_ammo 2
ttt_random_weapon	1279.070313 -1197.385132 65.183258	1.924 4.858 -92.325	auto_ammo 2
ttt_random_weapon	1693.963867 35.605568 66.193130	1.952 4.926 -92.420	auto_ammo 2
ttt_random_weapon	1727.849609 880.442444 257.208130	1.784 4.928 -92.806	auto_ammo 2
ttt_random_weapon	1722.812134 1185.454712 257.220306	1.646 4.922 -93.121	auto_ammo 2
item_ammo_smg1_ttt	553.505981 -729.616028 130.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	569.000000 -730.557983 130.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	3022.620117 1555.760010 385.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	2994.000000 1557.000000 385.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	2562.699951 1259.530029 896.000000	0.000 351.000 0.000
item_ammo_smg1_ttt	2546.000000 1264.000000 896.000000	0.000 351.000 0.000
item_ammo_smg1_ttt	2528.000000 1264.000000 896.000000	0.000 351.000 0.000
item_ammo_smg1_ttt	2926.000000 177.000000 125.000000	0.000 0.000 -0.500
item_ammo_smg1_ttt	2926.000000 205.000000 125.000000	0.000 0.000 -0.500
weapon_ttt_m16	1434.140015 420.000000 66.000000	0.000 0.000 86.000
weapon_ttt_m16	3552.000000 2400.000000 388.000000	0.000 270.000 -2.500
item_box_buckshot_ttt	424.690002 -728.000000 114.000000	0.000 0.000 0.000
item_box_buckshot_ttt	418.000000 -743.346985 114.000000	0.000 0.000 0.000
item_box_buckshot_ttt	431.317993 -742.789978 114.000000	0.000 0.000 0.000
item_box_buckshot_ttt	956.000000 28.000000 107.000000	0.000 0.000 0.000
item_box_buckshot_ttt	968.000000 28.000000 107.000000	0.000 0.000 0.000
item_box_buckshot_ttt	980.000000 28.000000 107.000000	0.000 0.000 0.000
weapon_zm_rifle	-110.000000 -122.000000 66.000000	0.000 271.000 0.000
weapon_zm_rifle	849.960999 -1112.000000 884.000000	-0.018 271.000 1.000
weapon_zm_rifle	466.000000 -1220.000000 66.957497	0.000 0.000 0.000
weapon_zm_rifle	1804.000000 1040.000000 258.957001	0.000 270.000 -88.500
weapon_zm_rifle	1202.000000 -126.000000 556.000000	0.000 0.000 0.000
weapon_zm_rifle	1848.000000 1626.000000 770.958008	0.000 0.000 0.000
weapon_zm_rifle	1128.000000 2460.639893 770.958008	0.000 0.000 0.000
weapon_zm_rifle	416.463989 2399.459961 302.958008	0.000 0.000 0.000
weapon_zm_rifle	2772.000000 1352.000000 1154.000000	0.000 270.000 0.000
weapon_zm_rifle	2351.000000 1489.000000 1286.000000	0.000 0.000 0.000
weapon_zm_rifle	3226.000000 -95.000000 631.000000	0.000 90.000 -0.500
weapon_zm_rifle	2950.000000 -1247.000000 1090.000000	0.000 0.000 0.000
weapon_zm_mac10	470.000000 -1178.000000 134.000000	0.000 0.000 -1.500
weapon_zm_mac10	1009.000000 -842.000000 198.000000	0.000 0.000 -1.500
weapon_zm_mac10	3000.070068 1554.420044 386.000000	0.000 0.000 89.500
weapon_zm_mac10	2939.000000 196.000000 125.000000	0.000 0.000 89.500
item_ammo_357_ttt	-124.000000 -120.000000 64.000000	-0.018 271.000 1.000
item_ammo_357_ttt	-124.000000 -130.000000 64.000000	-0.018 271.000 1.000
item_ammo_357_ttt	-124.000000 -144.000000 64.000000	-0.018 271.000 1.000
item_ammo_357_ttt	876.000000 -1134.939941 881.276001	0.000 0.000 0.000
item_ammo_357_ttt	864.619995 -1120.010010 881.276001	0.000 0.000 0.000
item_ammo_357_ttt	873.966980 -1120.319946 881.276001	0.000 0.000 0.000
item_ammo_357_ttt	478.000000 -1232.000000 65.275803	0.000 0.000 0.000
item_ammo_357_ttt	492.634003 -1231.410034 65.275803	0.000 0.000 0.000
item_ammo_357_ttt	464.000000 -1232.000000 65.275803	0.000 0.000 0.000
item_ammo_357_ttt	1809.410034 994.763000 257.276001	0.000 0.000 0.000
item_ammo_357_ttt	1806.000000 1062.000000 257.276001	0.000 0.000 0.000
item_ammo_357_ttt	1216.000000 -140.000000 556.000000	0.000 0.000 0.000
item_ammo_357_ttt	1216.000000 -112.000000 556.000000	0.000 0.000 0.000
item_ammo_357_ttt	1743.060059 2122.679932 385.276001	0.000 0.000 0.000
item_ammo_357_ttt	1728.469971 2123.500000 385.276001	0.000 0.000 0.000
item_ammo_357_ttt	1716.449951 2122.989990 385.276001	0.000 0.000 0.000
item_ammo_357_ttt	1825.250000 1628.979980 769.276001	0.000 0.000 0.000
item_ammo_357_ttt	1892.250000 1626.520020 769.276001	0.000 0.000 0.000
item_ammo_357_ttt	1171.790039 2451.409912 769.276001	0.000 0.000 0.000
item_ammo_357_ttt	483.782990 2437.719971 301.276001	0.000 0.000 0.000
item_ammo_357_ttt	484.117004 2455.219971 301.276001	0.000 0.000 0.000
item_ammo_357_ttt	485.028015 2469.719971 301.276001	0.000 0.000 0.000
item_ammo_357_ttt	468.273987 2463.479980 301.276001	0.000 0.000 0.000
item_ammo_357_ttt	2756.000000 1356.000000 1154.000000	0.000 270.000 0.000
item_ammo_357_ttt	2756.000000 1342.000000 1154.000000	0.000 270.000 0.000
item_ammo_357_ttt	2756.000000 1328.000000 1154.000000	0.000 270.000 0.000
item_ammo_357_ttt	2376.000000 1508.000000 1280.000000	0.000 0.000 0.000
item_ammo_357_ttt	2360.000000 1512.000000 1280.000000	0.000 0.000 0.000
item_ammo_357_ttt	2344.000000 1508.000000 1280.000000	0.000 0.000 0.000
item_ammo_357_ttt	3238.000000 -96.000000 629.000000	0.000 90.000 -0.500
item_ammo_357_ttt	3239.000000 -83.000000 629.000000	0.000 90.000 -0.500
item_ammo_357_ttt	3238.000000 -69.000000 629.000000	0.000 90.000 -0.500
item_ammo_357_ttt	2479.000000 583.000000 497.000000	0.000 0.000 0.000
item_ammo_357_ttt	2488.000000 584.000000 497.000000	0.000 0.000 0.000
item_ammo_357_ttt	2497.000000 583.000000 497.000000	0.000 0.000 0.000
item_ammo_357_ttt	2960.000000 -1224.000000 1088.000000	0.000 0.000 0.000
item_ammo_357_ttt	2976.000000 -1228.000000 1088.000000	0.000 0.000 0.000
item_ammo_357_ttt	2944.000000 -1228.000000 1088.000000	0.000 0.000 0.000
item_ammo_357_ttt	1171.219971 2468.000000 769.276001	0.000 0.000 0.000
item_ammo_pistol_ttt	1104.000000 -984.000000 65.000603	0.000 0.000 0.000
item_ammo_pistol_ttt	1491.180054 55.100800 67.280098	0.000 0.000 0.000
item_ammo_pistol_ttt	1505.520020 54.313301 67.280098	0.000 0.000 0.000
item_ammo_pistol_ttt	1519.630005 54.323002 67.280098	0.000 0.000 0.000
item_ammo_pistol_ttt	-372.777008 1096.800049 257.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	3035.000000 1558.000000 385.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	3052.000000 1558.000000 385.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	3044.000000 1558.000000 385.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	2512.110107 1325.349976 769.280029	0.000 0.000 0.000
item_ammo_pistol_ttt	2525.209961 1326.319946 769.280029	0.000 0.000 0.000
item_ammo_pistol_ttt	2539.479980 1327.020020 769.280029	0.000 0.000 0.000
item_ammo_pistol_ttt	3534.800049 2389.429932 385.345001	0.000 270.000 0.000
item_ammo_pistol_ttt	3571.790039 2387.889893 385.345001	0.000 270.000 0.000
item_ammo_pistol_ttt	3766.000000 2496.000000 696.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	3754.000000 2496.000000 696.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	2064.000000 -226.000000 97.000000	0.000 270.000 0.000
item_ammo_pistol_ttt	3581.000000 1767.000000 509.373993	0.000 270.000 -0.500
item_ammo_pistol_ttt	2544.000000 -1424.000000 65.211700	0.000 0.000 0.000
item_ammo_pistol_ttt	2536.000000 -1424.000000 65.211700	0.000 0.000 0.000
item_ammo_pistol_ttt	2527.000000 -1424.000000 65.211700	0.000 0.000 0.000
item_ammo_pistol_ttt	3328.000000 1762.000000 509.373993	0.000 270.000 -0.500
item_ammo_pistol_ttt	2066.000000 -215.000000 97.000000	0.000 270.000 0.000
weapon_zm_molotov	-740.000000 -1028.000000 -122.264999	0.000 0.000 0.000
weapon_zm_molotov	166.720001 174.322998 69.734596	0.000 0.000 0.000
weapon_zm_molotov	771.755005 -19.825899 69.734596	0.000 0.000 0.000
weapon_zm_molotov	1366.729980 -48.607399 389.734985	0.000 0.000 0.000
weapon_zm_molotov	1596.430054 -29.364500 71.734596	0.000 0.000 0.000
weapon_zm_molotov	1964.000000 232.000000 422.000000	0.000 0.000 0.000
weapon_zm_molotov	1784.209961 929.507019 261.734985	0.000 0.000 0.000
weapon_zm_molotov	837.288025 1357.969971 260.734985	0.000 0.000 0.000
weapon_zm_molotov	154.000000 2572.000000 304.000000	0.000 0.000 0.000
weapon_zm_molotov	414.346008 2465.919922 305.734985	0.000 0.000 0.000
weapon_zm_molotov	719.000000 2516.000000 264.000000	0.000 0.000 0.000
weapon_zm_molotov	-368.000000 1944.000000 264.734985	0.000 0.000 0.000
weapon_zm_molotov	1113.000000 2060.000000 389.734985	0.000 0.000 0.000
weapon_zm_molotov	1141.219971 2451.409912 773.734985	0.000 0.000 0.000
weapon_zm_molotov	1836.089966 1711.010010 773.734985	0.000 0.000 0.000
weapon_zm_molotov	2724.000000 1456.000000 773.734985	0.000 0.000 0.000
weapon_zm_molotov	3474.000000 2456.610107 389.734985	0.000 0.000 0.000
weapon_zm_molotov	3149.429932 1555.349976 517.734985	0.000 0.000 0.000
weapon_zm_molotov	2367.840088 1202.069946 389.734985	0.000 0.000 0.000
weapon_zm_molotov	779.429993 -722.765015 69.734596	0.000 0.000 0.000
weapon_zm_molotov	-703.963013 -1226.560059 69.734596	0.000 0.000 0.000
weapon_zm_molotov	1376.680054 -349.032013 69.734596	0.000 0.000 0.000
weapon_zm_molotov	1074.000000 52.000000 85.000000	0.000 0.000 0.000
weapon_zm_molotov	734.000000 366.000000 101.000000	0.000 0.000 0.000
weapon_zm_molotov	796.000000 28.000000 110.000000	0.000 0.000 0.000
