# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_residentevil2_se
# Exported by: niclas
setting:	replacespawns 1
weapon_ttt_smokegrenade	493.942810 922.623291 452.534271	1.397 0.011 -1.220
weapon_ttt_smokegrenade	494.614716 908.114014 452.503204	0.263 0.003 0.087
weapon_ttt_smokegrenade	-5.956875 878.893677 276.509308	0.298 0.002 0.044
weapon_ttt_smokegrenade	-164.583878 526.811584 134.531509	0.982 0.012 -0.769
weapon_ttt_smokegrenade	-132.575836 533.122925 134.555542	3.558 -0.098 -3.694
weapon_ttt_smokegrenade	25.128202 486.460144 44.536583	2.413 -0.005 -2.330
weapon_ttt_smokegrenade	-599.375732 -43.957607 36.612820	1.975 -0.120 -2.028
weapon_ttt_smokegrenade	-575.104797 419.482117 -171.386978	2.028 -0.122 -2.089
weapon_ttt_smokegrenade	-586.353943 414.254944 -171.374985	1.668 -0.117 -1.715
ttt_random_weapon	1133.600708 404.624451 273.207306	1.793 4.774 -92.785	auto_ammo 2
ttt_random_weapon	1110.241821 760.181396 273.225494	1.588 4.760 -93.255	auto_ammo 2
ttt_random_weapon	773.970703 864.582031 273.215576	1.700 4.768 -92.999	auto_ammo 2
ttt_random_weapon	526.889404 231.100418 273.233276	1.499 4.753 -93.457	auto_ammo 2
ttt_random_weapon	496.143951 236.747620 273.222534	1.612 5.458 -93.190	auto_ammo 2
ttt_random_weapon	1284.581299 361.395569 273.214600	1.711 4.769 -92.973	auto_ammo 2
ttt_random_weapon	1109.612183 38.352131 65.242149	1.399 4.959 -93.688	auto_ammo 2
ttt_random_weapon	1292.416870 172.603409 65.216499	1.689 4.985 -93.023	auto_ammo 2
ttt_random_weapon	1428.975830 115.397339 65.217903	1.673 4.988 -93.059	auto_ammo 2
ttt_random_weapon	814.127319 127.477753 65.216499	1.689 4.985 -93.023	auto_ammo 2
ttt_random_weapon	651.492371 54.199680 65.213516	1.723 4.982 -92.945	auto_ammo 2
ttt_random_weapon	594.705627 -108.511848 65.231087	1.524 4.980 -93.401	auto_ammo 2
ttt_random_weapon	412.734436 -46.586929 65.232559	1.508 4.977 -93.439	auto_ammo 2
ttt_random_weapon	628.564148 369.999695 65.231834	1.516 4.979 -93.420	auto_ammo 2
ttt_random_weapon	1169.103394 314.121582 65.225777	1.584 4.986 -93.263	auto_ammo 2
ttt_random_weapon	123.893745 653.936279 -167.552032	-9.822 8.663 -95.468	auto_ammo 2
ttt_random_weapon	120.228714 688.562256 -168.317566	-9.460 8.696 -94.647	auto_ammo 2
ttt_random_weapon	-9.425532 1077.312988 -166.793732	1.805 4.928 -92.759	auto_ammo 2
ttt_random_weapon	-8.053489 1058.988281 -166.769577	1.532 4.914 -93.384	auto_ammo 2
ttt_random_weapon	321.494598 844.007629 -166.770676	1.544 4.915 -93.355	auto_ammo 2
ttt_random_weapon	499.539551 1046.484009 -170.794586	1.814 4.712 -92.737	auto_ammo 2
ttt_random_weapon	548.655762 1044.495239 -170.803879	1.919 4.718 -92.497	auto_ammo 2
ttt_random_weapon	-395.147034 558.034790 -174.786789	1.726 4.926 -92.938	auto_ammo 2
ttt_random_weapon	44.148399 259.338989 -174.793732	1.805 4.927 -92.758	auto_ammo 2
ttt_random_weapon	1.650128 249.280518 -174.785751	1.715 4.926 -92.965	auto_ammo 2
ttt_random_weapon	35.211807 24.682951 -174.776917	1.615 4.920 -93.193	auto_ammo 2
ttt_random_weapon	534.624329 450.865784 -174.803085	1.910 4.718 -92.517	auto_ammo 2
ttt_random_weapon	868.463501 930.912781 -174.759064	1.413 4.902 -93.656	auto_ammo 2
ttt_random_weapon	807.356812 928.812317 -174.760056	1.424 4.294 -93.631	auto_ammo 2
ttt_random_weapon	967.708618 934.356018 -174.796356	1.834 4.930 -92.691	auto_ammo 2
ttt_random_weapon	1058.088013 602.529053 -174.797028	1.842 4.927 -92.673	auto_ammo 2
ttt_random_weapon	1258.153076 442.156342 -174.755066	1.367 4.650 -93.760	auto_ammo 2
ttt_random_weapon	1217.787476 996.318970 -174.778198	1.629 4.694 -93.160	auto_ammo 2
ttt_random_weapon	1238.223389 1138.235107 -173.275864	-4.033 1.679 -10.788	auto_ammo 2
ttt_random_weapon	1929.326416 1080.765015 65.233246	1.500 4.977 -93.457	auto_ammo 2
ttt_random_weapon	1930.676392 1041.873169 65.227402	1.566 4.984 -93.305	auto_ammo 2
ttt_random_weapon	1528.397217 1013.508362 65.231087	1.524 4.980 -93.401	auto_ammo 2
ttt_random_weapon	1924.853394 631.102539 -174.773514	1.576 4.686 -93.282	auto_ammo 2
ttt_random_weapon	198.123077 -89.910942 65.223343	1.612 4.990 -93.200	auto_ammo 2
ttt_random_weapon	143.866196 -91.841599 65.229752	1.539 4.982 -93.366	auto_ammo 2
ttt_random_weapon	-265.762146 -88.393845 65.224022	1.604 4.987 -93.218	auto_ammo 2
ttt_random_weapon	-158.422241 -87.100998 65.231270	1.522 4.976 -93.405	auto_ammo 2
ttt_random_weapon	-16.428329 203.162079 33.230179	1.523 5.724 -93.449	auto_ammo 2
ttt_random_weapon	-32.191269 611.057312 97.217651	1.676 4.924 -93.053	auto_ammo 2
ttt_random_weapon	-298.189392 -146.220337 273.227722	1.562 4.984 -93.313	auto_ammo 2
ttt_random_weapon	-294.540771 -167.010483 273.228027	1.559 4.984 -93.321	auto_ammo 2
ttt_random_weapon	296.594574 -151.529602 273.231079	1.524 4.980 -93.401	auto_ammo 2
ttt_random_weapon	285.244354 -175.978470 273.164032	2.194 2.550 -92.204	auto_ammo 2
ttt_random_weapon	-24.978928 969.318115 273.220093	1.648 4.988 -93.116	auto_ammo 2
ttt_random_weapon	14.192191 966.450317 273.222534	1.621 4.988 -93.179	auto_ammo 2
ttt_random_weapon	-379.402191 -111.809967 449.237274	1.454 4.970 -93.561	auto_ammo 2
ttt_random_weapon	413.411499 916.725281 449.217896	1.673 4.988 -93.059	auto_ammo 2
ttt_random_weapon	-543.390015 26.934538 33.224026	1.604 4.987 -93.218	auto_ammo 2
ttt_random_weapon	-483.619965 52.920349 33.217899	1.673 4.988 -93.059	auto_ammo 2
ttt_random_weapon	-629.417053 227.672424 33.234112	1.490 4.975 -93.479	auto_ammo 2
ttt_random_weapon	-1114.286499 24.036707 33.222527	1.621 4.988 -93.179	auto_ammo 2
ttt_random_weapon	-1539.640381 42.891327 33.240192	1.421 4.738 -93.637	auto_ammo 2
ttt_random_weapon	-1523.566528 501.602478 33.221340	1.634 4.988 -93.148	auto_ammo 2
ttt_random_weapon	-1536.297241 939.270630 33.201576	1.857 4.928 -92.638	auto_ammo 2
ttt_random_weapon	-1550.708618 1259.251343 33.192211	1.846 4.420 -92.530	auto_ammo 2
ttt_random_weapon	-1190.366455 1247.302856 33.197914	1.899 4.927 -92.543	auto_ammo 2
ttt_random_weapon	-954.420349 1285.585449 33.201576	1.857 4.928 -92.638	auto_ammo 2
ttt_random_weapon	-958.284241 1251.514282 33.217186	1.681 4.924 -93.041	auto_ammo 2
ttt_random_weapon	-745.792603 1031.297852 33.219303	1.658 4.697 -93.096	auto_ammo 2
ttt_random_weapon	-501.759644 1184.263306 33.214092	1.716 4.703 -92.961	auto_ammo 2
ttt_random_weapon	-517.139893 1144.921875 33.216568	1.688 4.700 -93.025	auto_ammo 2
ttt_random_weapon	-656.310913 1003.175110 33.209309	1.770 4.927 -92.837	auto_ammo 2
ttt_random_weapon	-644.797607 953.261963 33.200146	1.874 4.930 -92.601	auto_ammo 2
ttt_random_weapon	-497.496826 1309.318115 165.199890	1.876 4.780 -92.594	auto_ammo 2
ttt_random_weapon	-507.423065 1287.243774 165.206039	1.807 4.775 -92.753	auto_ammo 2
ttt_random_weapon	-687.620972 904.555176 273.219696	1.653 4.989 -93.105	auto_ammo 2
ttt_random_weapon	-1122.776245 665.936401 273.231079	1.524 4.980 -93.401	auto_ammo 2
ttt_random_weapon	-1557.866089 625.407715 273.230072	1.536 4.756 -93.374	auto_ammo 2
ttt_random_weapon	-940.474487 -7.311455 273.217499	1.678 4.766 -93.049	auto_ammo 2
ttt_random_weapon	-1045.825439 708.410095 273.088440	2.152 9.167 -90.841	auto_ammo 2
ttt_random_weapon	-1041.887207 794.383789 273.226471	1.576 4.759 -93.281	auto_ammo 2
ttt_random_weapon	-814.535889 593.287231 273.196899	1.910 4.782 -92.516	auto_ammo 2
ttt_random_weapon	-874.633545 593.626587 273.206665	1.800 4.775 -92.769	auto_ammo 2
ttt_random_weapon	-919.991760 587.096985 273.217041	1.683 4.767 -93.037	auto_ammo 2
ttt_random_weapon	-927.421021 574.911865 449.201782	1.855 4.858 -92.643	auto_ammo 2
ttt_random_weapon	-663.007507 201.453140 273.199890	1.876 4.780 -92.594	auto_ammo 2
ttt_random_weapon	1747.164551 940.732666 273.208130	1.784 4.928 -92.806	auto_ammo 2
ttt_random_weapon	1743.046265 923.995667 273.193146	1.952 4.926 -92.420	auto_ammo 2
ttt_random_weapon	-556.751343 691.155457 -174.778473	1.632 4.921 -93.153	auto_ammo 2
ttt_random_weapon	-552.576111 661.431946 -174.780991	1.661 4.923 -93.088	auto_ammo 2
ttt_random_weapon	-559.770752 618.041809 -174.795029	1.819 4.928 -92.725	auto_ammo 2
ttt_random_weapon	-558.947693 401.259125 -174.806030	1.943 4.925 -92.441	auto_ammo 2
ttt_random_weapon	-556.224243 362.312134 -174.825150	1.675 4.444 -92.820	auto_ammo 2
ttt_random_weapon	-556.760559 334.649841 -174.779709	1.646 4.922 -93.121	auto_ammo 2
ttt_random_weapon	-562.568787 555.352173 -174.762985	1.457 4.907 -93.554	auto_ammo 2
ttt_random_weapon	-965.596863 475.718170 -174.772766	1.568 4.917 -93.301	auto_ammo 2
ttt_random_weapon	-1085.283569 475.416718 -174.791885	1.784 4.928 -92.806	auto_ammo 2
ttt_random_weapon	-1266.562744 293.885132 -174.809418	1.981 4.920 -92.354	auto_ammo 2
ttt_random_weapon	-1327.195190 230.196014 -174.913605	1.852 14.793 -92.130	auto_ammo 2
ttt_random_weapon	-1559.292603 15.551702 -174.796356	1.834 4.930 -92.691	auto_ammo 2
ttt_random_weapon	-902.727661 177.269363 -174.769852	1.535 4.914 -93.376	auto_ammo 2
ttt_random_weapon	794.047485 -130.921204 273.197662	1.902 4.782 -92.536	auto_ammo 2
ttt_random_weapon	779.197327 -100.651176 274.574066	-3.267 1.826 -33.458	auto_ammo 2
ttt_random_weapon	-636.857483 446.373810 273.221405	1.634 4.763 -93.149	auto_ammo 2
ttt_random_weapon	-670.056335 387.376862 273.195313	1.928 4.784 -92.476	auto_ammo 2
ttt_random_ammo	1428.488281 1320.905884 66.381004	0.190 0.001 0.171
ttt_random_ammo	1465.787476 1314.097900 66.453568	-1.514 -0.275 -1.604
ttt_random_ammo	1471.792969 1312.294189 68.632530	89.069 -52.313 -29.490
ttt_random_ammo	613.725342 862.880615 272.374481	0.120 0.000 0.084
ttt_random_ammo	623.541870 863.252869 272.374512	0.118 0.000 0.081
ttt_random_ammo	643.434998 866.672729 272.342285	0.047 0.000 -0.021
ttt_random_ammo	632.611633 867.814514 272.393127	0.695 0.006 0.792
ttt_random_ammo	652.051147 869.944763 272.344574	0.048 0.000 -0.019
ttt_random_ammo	660.378662 869.793091 272.361542	0.066 0.000 0.012
ttt_random_ammo	658.160461 858.056274 272.353333	0.053 -0.000 0.008
ttt_random_ammo	650.438171 856.277649 272.367310	0.081 -0.000 -0.032
ttt_random_ammo	642.495850 859.157593 272.359528	0.062 0.000 0.006
ttt_random_ammo	633.844727 858.250732 272.361542	0.065 0.000 0.011
ttt_random_ammo	622.240540 854.980042 272.339966	0.046 0.000 -0.023
ttt_random_ammo	612.028809 849.617432 272.332794	0.046 0.000 -0.028
ttt_random_ammo	613.467041 839.399719 272.453094	0.874 0.024 1.055
ttt_random_ammo	626.409424 838.450928 272.432373	1.292 0.032 1.559
ttt_random_ammo	634.637085 838.852783 272.438354	1.118 0.028 1.343
ttt_random_ammo	643.808044 840.605164 272.388000	0.353 0.002 0.375
ttt_random_ammo	653.167175 843.168823 272.342316	0.047 -0.000 0.021
ttt_random_ammo	661.812805 844.091431 272.320129	0.046 -0.000 0.034
ttt_random_ammo	91.581123 247.561859 -173.241104	0.013 -1.015 90.296
ttt_random_ammo	-275.106415 -153.808746 272.437225	1.269 0.032 1.540
ttt_random_ammo	624.916077 739.295166 -175.676529	-0.047 -0.000 -0.033
ttt_random_ammo	613.058228 733.259644 -175.593338	-0.829 -0.009 0.954
ttt_random_ammo	628.560547 708.093689 -175.672134	0.046 0.000 -0.031
ttt_random_ammo	622.950012 693.587341 -175.662354	0.047 0.000 -0.025
ttt_random_ammo	630.152893 650.105042 -175.677261	0.047 0.000 -0.033
ttt_random_ammo	637.356140 615.460571 -175.622147	0.149 0.001 0.121
ttt_random_ammo	635.819336 589.526733 -175.620682	0.170 -0.001 -0.146
ttt_random_ammo	613.072815 616.621948 -175.638458	0.066 -0.000 -0.011
ttt_random_ammo	624.263062 559.734070 -175.667145	0.046 -0.000 0.028
ttt_playerspawn	156.702866 171.762100 -175.430450	-0.042 -0.001 0.055
ttt_playerspawn	-198.523117 145.311600 -175.482620	-0.081 -0.000 0.081
ttt_playerspawn	-1304.475098 295.703674 -175.456680	-0.055 -0.000 0.055
ttt_playerspawn	-860.296631 293.191345 -175.472076	0.100 0.003 0.129
ttt_playerspawn	-554.299255 497.941437 -175.445908	-0.045 -0.000 0.045
ttt_playerspawn	-503.177856 979.598083 32.524517	-0.074 -0.000 0.074
ttt_playerspawn	-538.347046 879.894958 272.564636	-0.034 -0.000 0.034
ttt_playerspawn	-1052.374512 47.685989 272.519531	-0.032 -0.000 0.032
ttt_playerspawn	-389.177856 25.648897 448.552185	-0.046 -0.000 0.046
ttt_playerspawn	369.620270 427.812561 272.528229	-0.069 -0.000 0.069
ttt_playerspawn	-229.286087 829.714478 96.560493	-0.039 -0.000 0.038
ttt_playerspawn	251.597260 92.629974 32.509548	-0.088 -0.000 0.088
ttt_playerspawn	251.698486 749.465454 96.529999	-0.068 -0.000 0.068
ttt_playerspawn	-249.954712 -128.007874 64.545265	-0.052 -0.000 0.052
ttt_playerspawn	772.097717 87.594604 64.599800	0.001 61.444 0.001
ttt_playerspawn	1489.996460 -97.278816 64.522591	-0.074 -0.000 0.074
ttt_playerspawn	2111.438721 296.389496 66.564972	-0.034 -0.000 0.034
ttt_playerspawn	2124.567871 1273.006592 66.537949	-0.061 -0.000 0.061
ttt_playerspawn	1690.673462 822.555847 272.579895	-0.020 -0.000 0.019
ttt_playerspawn	1524.680420 643.944214 272.551971	-0.047 -0.000 0.047
ttt_playerspawn	1568.389771 -76.388565 272.538605	0.074 0.000 0.074
ttt_playerspawn	881.194702 936.315857 272.576202	0.001 -110.037 -0.076
ttt_playerspawn	-1001.190369 572.085571 32.533089	-0.065 -0.000 0.065
ttt_playerspawn	402.031464 1033.070190 -167.433029	-0.041 -0.072 0.091
ttt_playerspawn	-398.684906 1077.975098 -167.438339	0.062 0.000 0.060
ttt_playerspawn	734.338928 931.827881 -175.454407	-0.216 -0.066 -0.044
ttt_playerspawn	659.589844 -60.943405 272.489563	-0.044 -0.000 0.044
ttt_playerspawn	-383.949097 -152.333099 272.539185	-0.058 -0.000 0.058
ttt_playerspawn	-388.335876 943.384094 272.530365	-0.067 -0.000 0.067
ttt_playerspawn	-735.951904 60.311577 32.543587	-0.054 -0.000 0.054
ttt_playerspawn	502.902496 370.213654 64.571320	-0.097 -0.000 -0.006
ttt_playerspawn	-551.814148 386.984039 272.523102	-0.031 -0.000 0.031
ttt_playerspawn	-575.868958 1160.429565 32.566872	-0.039 -0.000 0.041
ttt_playerspawn	-753.451477 906.455017 32.567825	-0.073 0.001 0.029
ttt_playerspawn	-1550.408813 1211.266113 32.558670	-0.040 -0.000 0.040
weapon_zm_molotov	421.355164 941.074219 452.536041	2.831 -0.016 -2.801
weapon_zm_molotov	408.642517 935.466431 452.558929	3.449 -0.129 -3.559
weapon_zm_molotov	386.608337 912.763062 452.519012	0.427 0.003 -0.116
weapon_zm_molotov	374.025604 881.493103 452.589844	2.568 -0.132 -2.633
weapon_zm_molotov	378.287842 853.981689 452.567535	3.180 -0.142 -3.271
weapon_zm_molotov	383.979797 837.476257 452.591461	2.533 -0.131 -2.598
weapon_zm_molotov	395.648987 818.371582 452.536346	1.632 0.008 -1.475
weapon_zm_molotov	423.093262 807.300476 452.552460	3.603 -0.107 -3.717
weapon_zm_molotov	-9.038975 708.589661 134.567307	3.250 -0.145 -3.371
weapon_zm_molotov	-535.502686 416.139008 -171.403488	2.439 -0.125 -2.505
weapon_zm_molotov	-548.164490 416.403259 -171.412415	2.727 -0.134 -2.811
weapon_ttt_confgrenade	575.939758 913.122070 451.610931	0.600 0.218 -0.178
weapon_ttt_confgrenade	573.521851 896.080627 451.505951	2.267 0.265 -0.674
weapon_ttt_confgrenade	162.372650 640.574524 133.556992	1.347 0.226 -0.561
weapon_ttt_confgrenade	136.933609 643.467834 133.521332	1.688 0.232 1.469
weapon_ttt_confgrenade	-1.308958 486.925049 43.566853	1.092 0.214 0.939
weapon_ttt_confgrenade	-544.143311 408.885345 -173.860794	38.565 20.516 91.262
weapon_ttt_confgrenade	-556.010437 418.563843 -172.432022	0.969 0.135 -0.246
item_ammo_revolver_ttt	564.249207 760.824036 -168.358704	0.101 0.581 -0.610
item_ammo_revolver_ttt	565.121460 750.797363 -168.308014	1.675 0.168 -0.014
item_ammo_revolver_ttt	1763.058716 1317.847046 66.434731	0.892 -0.024 -0.505
item_ammo_revolver_ttt	1758.169434 1300.471069 66.419197	1.072 -0.031 -0.725
item_ammo_revolver_ttt	480.872711 615.849121 272.398804	1.322 -0.059 -1.037
item_ammo_revolver_ttt	489.703705 637.696411 272.462463	0.762 2.268 -0.081
item_ammo_revolver_ttt	499.063995 643.039429 272.412445	1.161 -0.039 -0.840
item_ammo_revolver_ttt	1325.820679 399.165588 272.419006	1.083 -0.034 -0.744
item_ammo_revolver_ttt	1314.125366 400.853271 272.417450	1.102 -0.035 -0.767
item_ammo_revolver_ttt	1420.394653 206.943161 64.440376	0.822 -0.021 -0.418
item_ammo_revolver_ttt	1433.184204 196.297913 64.417191	1.089 -0.032 -0.742
item_ammo_revolver_ttt	-478.275848 -147.486877 -175.579285	1.055 -0.030 -0.704
item_ammo_revolver_ttt	-458.818146 -149.362717 -175.561218	0.844 -0.023 -0.447
item_ammo_revolver_ttt	-451.341766 -160.092819 -175.575317	0.587 0.683 0.039
item_ammo_revolver_ttt	217.093506 367.896667 -223.579529	1.054 -0.030 -0.701
item_ammo_revolver_ttt	219.034378 355.361328 -223.590332	1.179 -0.040 -0.853
item_ammo_revolver_ttt	231.054230 351.942780 -223.578812	1.045 -0.030 -0.690
item_ammo_revolver_ttt	-69.316460 724.799255 130.432343	0.917 -0.024 -0.534
item_ammo_revolver_ttt	-52.408043 722.686462 130.409683	1.179 -0.040 -0.853
item_ammo_revolver_ttt	53.804192 724.731445 130.426819	0.981 -0.026 -0.612
item_ammo_revolver_ttt	67.008240 721.987305 130.414932	1.118 -0.033 -0.779
item_ammo_revolver_ttt	427.494720 846.488892 448.425385	0.996 -0.027 -0.629
item_ammo_revolver_ttt	411.141052 855.245544 448.429962	0.919 0.092 -0.549
item_ammo_revolver_ttt	405.112732 864.044861 448.387939	1.613 -2.705 -0.018
item_ammo_revolver_ttt	-775.446045 527.200745 272.410645	1.182 -0.042 -0.865
item_ammo_revolver_ttt	-795.163513 526.218994 272.424866	1.014 -0.030 -0.659
item_ammo_revolver_ttt	-804.206299 541.919067 272.404999	1.249 -0.048 -0.947
item_ammo_revolver_ttt	-622.736084 420.751770 -175.588272	1.159 -0.037 -0.831
item_ammo_revolver_ttt	-621.914917 408.743713 -175.582367	1.091 -0.033 -0.747
item_ammo_revolver_ttt	-608.654846 400.730621 -175.591888	1.202 -0.041 -0.883
weapon_zm_sledge	-613.157227 315.894897 -171.623505	18.190 1.228 3.108
weapon_zm_revolver	568.250305 757.506409 -166.822205	2.459 -20.340 -83.387
weapon_zm_revolver	1737.928711 1309.506958 67.948067	2.411 -20.419 -84.546
weapon_zm_revolver	490.719635 629.316345 273.939270	2.480 -20.575 -84.246
weapon_zm_revolver	1318.742310 364.438721 273.913544	2.549 -20.529 -83.590
weapon_zm_revolver	1429.115601 216.592819 65.911346	2.590 -19.648 -83.452
weapon_zm_revolver	-467.348114 -164.813080 -174.008591	2.667 -21.610 -85.097
weapon_zm_revolver	222.178864 370.171051 -222.049072	2.617 -20.159 -84.229
weapon_zm_revolver	-77.662003 708.496521 131.968689	2.435 -20.213 -84.936
weapon_zm_revolver	62.601139 708.412598 131.946838	2.659 -20.144 -84.068
weapon_zm_revolver	419.478699 864.012207 449.938049	2.503 -19.715 -84.167
weapon_zm_revolver	-792.189819 541.005127 273.910217	2.553 -20.521 -83.518
weapon_zm_revolver	-617.707397 417.432037 -174.065872	2.424 -20.401 -84.229
