# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_westwood_v4
# Exported by: niclas
setting:	replacespawns 1
weapon_ttt_smokegrenade	2157.093018 -134.144547 -104.266792	-73.823 -48.245 133.156
weapon_ttt_smokegrenade	2171.030518 -141.460663 -105.905060	-8.007 177.086 78.445
weapon_ttt_smokegrenade	2158.429443 -128.232986 -103.220802	-44.426 -14.602 106.055
weapon_ttt_smokegrenade	2139.601318 -134.223114 -104.437973	46.581 167.777 -106.729
weapon_ttt_smokegrenade	2136.845703 -153.334183 -108.275391	-34.339 -10.034 103.919
weapon_ttt_smokegrenade	2319.443359 132.331100 -82.850922	-0.096 -0.025 0.306
weapon_ttt_smokegrenade	2318.902832 106.527512 -82.984276	-0.205 -0.137 -0.341
weapon_ttt_smokegrenade	2523.897705 -784.590881 -107.472939	0.727 0.010 -0.470
weapon_ttt_smokegrenade	2053.099365 -553.644836 196.581177	2.880 -0.129 -2.981
weapon_ttt_smokegrenade	2392.224121 -567.868774 196.599670	2.368 -0.128 -2.446
weapon_ttt_smokegrenade	1399.286377 -625.526367 188.621353	1.760 -0.118 -1.816
weapon_ttt_smokegrenade	1069.300293 -643.078308 188.536240	1.956 0.004 -1.840
weapon_ttt_smokegrenade	-85.841736 410.339050 84.550308	3.743 -0.133 -3.892
weapon_ttt_smokegrenade	462.701324 477.312500 -115.484268	0.384 0.003 -0.072
weapon_ttt_smokegrenade	440.996857 479.261047 -115.432121	3.258 -0.145 -3.379
weapon_ttt_smokegrenade	409.475342 484.320587 -115.436127	3.353 -0.129 -3.476
weapon_ttt_smokegrenade	367.819336 1368.394165 -54.787449	0.417 0.003 -0.034
weapon_ttt_smokegrenade	357.950775 1347.489136 -54.729893	3.188 -0.137 -3.272
weapon_ttt_smokegrenade	355.210876 1394.719971 -54.768398	1.409 0.011 -1.169
weapon_ttt_smokegrenade	659.286194 -64.083672 -106.046295	75.117 51.540 -137.372
weapon_ttt_smokegrenade	916.946167 162.418335 -123.437759	0.203 -0.210 -0.038
weapon_ttt_smokegrenade	878.845825 665.254333 -75.481903	0.426 0.004 -0.122
ttt_random_weapon	746.546997 109.994171 29.513866	1.703 4.256 -92.991	auto_ammo 2
ttt_random_weapon	609.531433 79.925865 -1.770497	1.542 4.757 -93.360	auto_ammo 2
ttt_random_weapon	575.688416 152.673584 -1.791490	1.779 4.773 -92.817	auto_ammo 2
ttt_random_weapon	722.573181 217.495651 -1.805503	1.937 4.784 -92.455	auto_ammo 2
ttt_random_weapon	527.014526 240.266342 -81.903214	2.326 4.097 -91.700	auto_ammo 2
ttt_random_weapon	653.298584 356.944366 -81.978592	2.086 5.566 -91.893	auto_ammo 2
ttt_random_weapon	761.190979 474.958679 -81.826439	1.068 3.918 -95.328	auto_ammo 2
ttt_random_weapon	517.770325 63.488041 -118.792091	1.786 4.774 -92.801	auto_ammo 2
ttt_random_weapon	530.059448 153.425201 -118.797958	1.852 4.778 -92.649	auto_ammo 2
ttt_random_weapon	591.545410 606.822876 -126.793022	1.770 5.715 -92.940	auto_ammo 2
ttt_random_weapon	617.379822 678.127747 -126.801216	1.858 5.714 -92.761	auto_ammo 2
ttt_random_weapon	649.969421 459.479248 153.449219	2.725 3.607 -100.342	auto_ammo 2
ttt_random_weapon	672.955688 963.862244 152.787521	3.019 20.000 72.872	auto_ammo 2
ttt_random_weapon	818.020203 755.683167 150.034348	7.988 -26.280 -78.766	auto_ammo 2
ttt_random_weapon	863.272156 162.892273 -78.792709	1.793 4.774 -92.785	auto_ammo 2
ttt_random_weapon	1133.261841 145.648773 -78.791496	1.779 4.773 -92.817	auto_ammo 2
ttt_random_weapon	1194.917725 137.454559 -78.797966	1.852 4.778 -92.649	auto_ammo 2
ttt_random_weapon	1074.948853 226.210083 -110.793968	1.807 4.775 -92.753	auto_ammo 2
ttt_random_weapon	1282.685791 299.827515 -110.803902	1.919 4.783 -92.496	auto_ammo 2
ttt_random_weapon	1069.281616 46.125881 65.217026	1.683 4.767 -93.037	auto_ammo 2
ttt_random_weapon	975.572021 304.810211 65.215584	1.700 4.768 -92.999	auto_ammo 2
ttt_random_weapon	981.882263 339.507599 65.206673	1.800 4.775 -92.769	auto_ammo 2
ttt_random_weapon	1380.448608 60.480560 -110.791489	1.779 4.773 -92.817	auto_ammo 2
ttt_random_weapon	1032.480835 46.158855 -110.787514	1.734 4.770 -92.919	auto_ammo 2
ttt_random_weapon	1328.047119 -65.100822 -110.800110	1.876 4.780 -92.594	auto_ammo 2
ttt_random_weapon	1029.266846 -63.385677 -110.800110	1.876 4.780 -92.594	auto_ammo 2
ttt_random_weapon	589.087891 -554.261719 -126.800476	1.850 5.713 -92.777	auto_ammo 2
ttt_random_weapon	519.729919 -559.496277 -126.823936	2.099 5.703 -92.265	auto_ammo 2
ttt_random_weapon	470.674194 -552.675720 -126.782295	1.656 5.719 -93.175	auto_ammo 2
ttt_random_weapon	402.550751 -560.073853 -126.799744	1.842 5.713 -92.793	auto_ammo 2
ttt_random_weapon	288.671509 -640.082275 -110.788605	1.747 4.771 -92.891	auto_ammo 2
ttt_random_weapon	188.610062 -543.586243 -110.780716	1.658 4.765 -93.095	auto_ammo 2
ttt_random_weapon	52.634716 -802.108704 -71.262756	1.185 3.608 -94.737	auto_ammo 2
ttt_random_weapon	-131.876007 -656.911682 -71.305550	1.726 3.140 -92.789	auto_ammo 2
ttt_random_weapon	-79.318466 -789.975891 64.751144	1.395 3.698 -93.775	auto_ammo 2
ttt_random_weapon	-273.672272 -770.461365 64.741776	1.081 3.173 -94.909	auto_ammo 2
ttt_random_weapon	89.438843 -798.580139 29.121637	2.044 3.199 -91.534	auto_ammo 2
ttt_random_weapon	218.032974 -792.337524 29.199621	1.829 5.130 -92.645	auto_ammo 2
ttt_random_weapon	-299.899994 -417.319855 64.640167	2.166 3.635 -92.507	auto_ammo 2
ttt_random_weapon	-101.988304 -485.889832 -79.485893	1.698 4.256 -93.004	auto_ammo 2
ttt_random_weapon	-47.357658 -551.290039 -110.799385	1.868 4.779 -92.613	auto_ammo 2
ttt_random_weapon	-320.836304 -833.559692 -110.808846	1.975 4.787 -92.368	auto_ammo 2
ttt_random_weapon	-241.023209 -830.193726 -110.809715	1.985 4.788 -92.346	auto_ammo 2
ttt_random_weapon	193.323227 -826.973633 131.195297	1.928 4.784 -92.476	auto_ammo 2
ttt_random_weapon	191.690491 -640.361755 131.225128	1.592 4.760 -93.246	auto_ammo 2
ttt_random_weapon	-311.003082 -822.818787 141.221786	1.629 4.763 -93.160	auto_ammo 2
ttt_random_weapon	-61.435287 -454.750153 141.202042	1.852 4.778 -92.649	auto_ammo 2
ttt_random_weapon	-64.414001 223.750931 169.210831	1.753 4.772 -92.877	auto_ammo 2
ttt_random_weapon	-65.983910 86.978470 169.214584	1.711 4.769 -92.973	auto_ammo 2
ttt_random_weapon	-72.137688 165.829422 169.201324	1.860 4.779 -92.631	auto_ammo 2
ttt_random_weapon	-334.300507 372.657410 81.201332	1.860 4.779 -92.631	auto_ammo 2
ttt_random_weapon	-127.742088 1327.741577 137.234344	1.487 4.752 -93.485	auto_ammo 2
ttt_random_weapon	-176.436066 1329.147217 137.197647	1.902 4.782 -92.536	auto_ammo 2
ttt_random_weapon	-125.498932 1183.768188 137.226151	1.580 4.759 -93.273	auto_ammo 2
ttt_random_weapon	-175.209549 1191.200195 137.201340	1.860 4.779 -92.631	auto_ammo 2
ttt_random_weapon	65.672760 1336.313232 -110.797966	1.852 4.778 -92.649	auto_ammo 2
ttt_random_weapon	59.033733 973.058472 -110.797966	1.852 4.778 -92.649	auto_ammo 2
ttt_random_weapon	-224.283569 972.823730 -81.925346	1.829 4.777 -92.702	auto_ammo 2
ttt_random_weapon	-215.584213 1103.693970 -81.920326	1.773 4.773 -92.832	auto_ammo 2
ttt_random_weapon	-145.595352 1385.303711 -75.562401	1.745 4.890 -92.896	auto_ammo 2
ttt_random_weapon	-202.690399 1385.121826 -75.574600	1.882 5.409 -92.581	auto_ammo 2
ttt_random_weapon	-21.243889 988.121338 38.264702	2.242 3.755 -92.708	auto_ammo 2
ttt_random_weapon	114.593140 1874.953369 -126.775414	1.583 5.721 -93.326	auto_ammo 2
ttt_random_weapon	188.545898 1881.852905 -126.811951	1.972 5.707 -92.526	auto_ammo 2
ttt_random_weapon	260.414795 1875.677490 -126.777641	1.606 5.720 -93.277	auto_ammo 2
ttt_random_weapon	324.546631 1873.584961 -126.801971	1.866 5.710 -92.745	auto_ammo 2
ttt_random_weapon	396.835236 1865.928955 -126.801971	1.866 5.710 -92.745	auto_ammo 2
ttt_random_weapon	834.758118 1860.235474 -126.829620	2.159 5.699 -92.141	auto_ammo 2
ttt_random_weapon	839.815369 1750.412720 -126.778831	1.619 5.721 -93.251	auto_ammo 2
ttt_random_weapon	676.701416 1387.879761 -126.829613	2.159 5.699 -92.141	auto_ammo 2
ttt_random_weapon	605.462952 1387.184448 -126.806732	1.916 5.709 -92.640	auto_ammo 2
ttt_random_weapon	853.294434 1525.868164 26.234505	1.485 5.479 -93.489	auto_ammo 2
ttt_random_weapon	434.091980 531.101196 -118.795250	1.822 4.776 -92.719	auto_ammo 2
ttt_random_weapon	447.376129 26.623453 -118.794601	1.814 4.776 -92.736	auto_ammo 2
ttt_random_weapon	471.874054 127.170036 -1.775936	1.604 4.761 -93.219	auto_ammo 2
ttt_random_weapon	14.946935 683.757507 -110.792709	1.793 4.774 -92.785	auto_ammo 2
ttt_random_weapon	4.344088 370.732697 -110.775574	1.600 4.761 -93.228	auto_ammo 2
ttt_random_weapon	50.960396 -3.090286 -110.778214	1.629 4.763 -93.160	auto_ammo 2
ttt_random_weapon	481.881866 971.763855 -110.803123	1.910 4.782 -92.516	auto_ammo 2
ttt_random_weapon	-18.762178 -97.022606 -126.777641	1.606 5.720 -93.277	auto_ammo 2
ttt_random_weapon	-19.805428 -265.392426 -126.787788	1.715 5.718 -93.055	auto_ammo 2
ttt_random_weapon	972.893127 -74.318474 -110.794601	1.814 4.776 -92.736	auto_ammo 2
ttt_random_weapon	1477.965942 -528.417175 -110.768631	1.521 4.755 -93.408	auto_ammo 2
ttt_random_weapon	744.503113 -541.496643 -110.779022	1.639 4.764 -93.139	auto_ammo 2
ttt_random_weapon	1496.065430 215.839706 -643.781860	-1.984 2.681 -99.678	auto_ammo 2
ttt_random_weapon	1590.438354 207.165298 -638.169128	6.995 2.943 -92.093	auto_ammo 2
ttt_random_weapon	1674.275391 194.598206 -634.831543	7.413 11.352 -94.479	auto_ammo 2
ttt_random_weapon	1733.284546 177.139496 -637.084351	0.764 4.991 -95.930	auto_ammo 2
ttt_random_weapon	1670.902222 1236.754272 -724.794983	1.819 4.928 -92.725	auto_ammo 2
ttt_random_weapon	1316.076538 1185.998657 -724.797729	1.850 4.928 -92.656	auto_ammo 2
ttt_random_weapon	1174.211792 1350.819214 -724.796326	1.834 4.930 -92.691	auto_ammo 2
ttt_random_weapon	2.250975 1406.437988 -677.462830	3.438 8.357 -109.987	auto_ammo 2
ttt_random_weapon	-30.067629 1439.670532 -675.339355	-2.455 -7.145 91.917	auto_ammo 2
ttt_random_weapon	101.083466 1381.908203 -678.987671	8.865 7.687 -103.637	auto_ammo 2
ttt_random_weapon	-1353.500122 1555.417603 -724.795654	1.827 4.929 -92.708	auto_ammo 2
ttt_random_weapon	-1422.656982 1534.900879 -724.790649	1.770 4.927 -92.837	auto_ammo 2
ttt_random_weapon	-2102.082764 1325.224854 -724.808533	1.972 4.920 -92.376	auto_ammo 2
ttt_random_weapon	-2145.918457 1231.645874 -724.799805	1.874 4.930 -92.601	auto_ammo 2
ttt_random_weapon	-1668.372070 1126.987427 -574.243835	-0.063 5.998 -94.251	auto_ammo 2
ttt_random_weapon	-1556.741943 1042.561768 -561.669739	-3.983 15.270 -104.931	auto_ammo 2
ttt_random_weapon	-1662.051025 1095.978271 -574.118591	0.348 5.519 -92.885	auto_ammo 2
ttt_random_weapon	-1567.743286 1026.125610 -560.573425	-4.757 9.871 -103.367	auto_ammo 2
ttt_random_weapon	-2469.942871 631.395447 -721.792480	1.790 4.929 -92.791	auto_ammo 2
ttt_random_weapon	-2524.360107 258.225616 -739.981506	-0.640 9.528 74.732	auto_ammo 2
ttt_random_weapon	-1965.874390 257.820251 -741.786011	5.454 3.824 -101.630	auto_ammo 2
ttt_random_weapon	-2577.992432 -1026.374390 -735.024963	14.479 -2.025 -92.493	auto_ammo 2
ttt_random_weapon	-2570.149414 -951.983948 -725.602417	22.021 -12.185 91.091	auto_ammo 2
ttt_random_weapon	-2567.530029 -225.603378 -739.882202	10.517 6.973 -95.434	auto_ammo 2
ttt_random_weapon	-2584.026855 -133.373779 -743.071777	10.532 4.403 -92.757	auto_ammo 2
ttt_random_weapon	-1141.095093 -954.107300 -634.766296	1.494 4.753 -93.469	auto_ammo 2
ttt_random_weapon	-1074.682373 -968.543884 -634.779419	1.643 4.764 -93.128	auto_ammo 2
ttt_random_weapon	-1102.876953 -1366.053101 -634.802368	1.902 4.782 -92.536	auto_ammo 2
ttt_random_weapon	-1173.300293 -1360.810425 -634.800842	1.885 4.781 -92.575	auto_ammo 2
ttt_random_weapon	-1009.326599 -1265.149414 -604.792114	1.786 4.774 -92.801	auto_ammo 2
ttt_random_weapon	-995.652954 -1230.184326 -604.506042	-0.184 3.989 -94.541	auto_ammo 2
ttt_random_weapon	-971.066956 -1292.573975 -604.803101	1.910 4.782 -92.516	auto_ammo 2
ttt_random_weapon	-2038.340454 -1205.945557 -760.074768	2.202 6.277 -96.103	auto_ammo 2
ttt_random_weapon	-2077.639648 -1251.725464 -757.405090	2.698 4.875 -96.241	auto_ammo 2
ttt_random_weapon	-1001.979126 -1082.893677 -624.059265	-8.874 2.975 -94.270	auto_ammo 2
ttt_random_weapon	-1044.301392 -65.116737 -582.610352	-8.171 1.590 -87.663	auto_ammo 2
ttt_random_weapon	-1029.209717 -155.618301 -577.624146	-14.461 -28.298 100.340	auto_ammo 2
ttt_random_weapon	-1037.564819 -251.209335 -575.480652	-11.633 10.043 -99.345	auto_ammo 2
ttt_random_weapon	-98.597717 -201.148468 -572.663940	3.361 -14.413 93.267	auto_ammo 2
ttt_random_weapon	-37.359230 -211.771194 -577.783875	2.294 -11.693 91.146	auto_ammo 2
ttt_random_weapon	530.295898 -594.460144 -579.584473	-0.125 -13.151 95.195	auto_ammo 2
ttt_random_weapon	955.324829 -727.454163 -588.095032	3.949 2.832 -90.887	auto_ammo 2
ttt_random_weapon	1009.953369 -716.289734 -593.259277	7.008 -2.265 87.823	auto_ammo 2
ttt_random_weapon	502.593597 644.357300 -645.712463	2.235 6.832 -102.517	auto_ammo 2
ttt_random_weapon	37.689629 552.292114 -617.215942	13.062 2.012 -97.487	auto_ammo 2
ttt_random_weapon	67.087082 917.875488 -548.692505	-3.368 -5.954 95.502	auto_ammo 2
ttt_random_weapon	-107.632477 806.486084 -476.102417	7.996 3.545 -90.055	auto_ammo 2
ttt_random_weapon	788.697144 891.256531 -596.755493	-14.358 -3.644 -95.540	auto_ammo 2
ttt_random_weapon	510.310852 1513.736084 -366.805878	1.907 5.708 -92.658	auto_ammo 2
ttt_random_weapon	868.993469 1431.080566 -366.809265	1.943 5.711 -92.585	auto_ammo 2
ttt_random_weapon	63.011829 133.403091 12.308712	19.500 6.628 -92.881	auto_ammo 2
ttt_random_weapon	2172.222168 -444.651581 40.570683	-0.952 4.569 65.864	auto_ammo 2
ttt_random_weapon	2016.523682 -792.899109 193.224426	1.600 4.761 -93.228	auto_ammo 2
ttt_random_weapon	2023.497559 -683.361389 193.204742	1.822 4.776 -92.719	auto_ammo 2
ttt_random_weapon	2120.612549 -676.540710 193.180176	1.454 4.936 -92.823	auto_ammo 2
ttt_random_weapon	2092.210693 -759.359985 193.224777	1.596 4.761 -93.237	auto_ammo 2
ttt_random_weapon	1210.580811 -814.915955 185.231110	1.524 4.755 -93.401	auto_ammo 2
ttt_random_weapon	1256.327026 -659.559998 185.207291	1.793 4.774 -92.785	auto_ammo 2
ttt_random_weapon	896.351868 -656.442078 129.210831	1.753 4.772 -92.877	auto_ammo 2
ttt_random_weapon	836.771484 -808.646423 129.196091	1.919 4.783 -92.496	auto_ammo 2
ttt_playerspawn	881.897217 -752.639587 -578.828247	-0.000 0.042 0.629
ttt_playerspawn	-2136.207031 -190.008301 -678.406311	7.098 -0.363 -6.625
ttt_playerspawn	-1118.036987 -1044.528442 -635.420288	-0.010 -0.105 -0.050
ttt_playerspawn	-2636.315430 -777.529297 -717.466736	5.506 2.602 -2.380
ttt_playerspawn	-2382.318604 626.734131 -722.460266	-0.059 -0.000 0.059
ttt_playerspawn	-272.883911 1568.274292 -725.463013	-0.062 -0.000 0.062
ttt_playerspawn	1688.060913 848.522888 -725.459290	-0.058 -0.000 0.058
ttt_playerspawn	1599.381226 -270.016205 -655.452637	0.033 -0.024 -0.198
ttt_playerspawn	1444.068726 -793.825989 184.500565	0.040 0.000 0.040
ttt_playerspawn	-121.507431 -755.838867 140.519501	-0.032 -0.000 0.032
ttt_playerspawn	-300.082275 112.474075 168.511887	-0.035 -0.000 0.035
ttt_playerspawn	-266.018494 1165.813354 136.519516	-0.032 -0.000 0.032
ttt_playerspawn	725.415894 1451.079590 -127.480103	-0.009 0.108 0.134
ttt_playerspawn	-19.769886 1788.243652 -111.459526	0.071 0.000 -0.071
ttt_playerspawn	-265.620392 1016.570923 -111.500931	-0.041 -0.000 0.041
ttt_playerspawn	1088.900757 210.812637 192.511887	-0.035 -0.000 0.035
ttt_playerspawn	1477.371338 338.166351 -127.415237	0.050 0.000 0.053
ttt_playerspawn	2491.708252 -708.063232 -111.484222	-0.034 -0.000 0.034
ttt_playerspawn	2624.949951 165.229370 -127.543159	-0.014 -0.000 0.014
ttt_playerspawn	1679.584473 -692.799927 -127.489685	-0.009 -0.000 0.009
ttt_playerspawn	1498.120361 0.607496 -127.489685	-0.009 -0.000 0.009
ttt_playerspawn	1138.000610 -322.618164 -127.479660	-0.134 -0.054 0.008
ttt_playerspawn	782.011780 -282.729218 -127.532753	-0.013 -0.000 0.013
ttt_playerspawn	-76.610283 -804.652161 -111.453590	-0.022 -0.000 0.022
ttt_playerspawn	868.945374 -832.921936 -111.532761	-0.013 -0.000 0.013
ttt_playerspawn	772.627136 261.441925 -119.502457	-0.041 -0.000 0.041
ttt_playerspawn	87.688690 -320.885468 -127.498177	-0.010 -0.000 0.010
ttt_playerspawn	-101.972298 803.899902 -127.505867	-0.011 -0.000 0.011
ttt_playerspawn	368.838898 800.939392 -127.528809	-0.013 -0.000 0.013
ttt_playerspawn	158.129776 -814.443054 0.538629	-0.025 -0.000 0.025
ttt_playerspawn	803.363525 799.392212 -111.490814	-0.037 -0.000 0.037
ttt_playerspawn	722.212280 301.410126 -2.476937	-0.031 -0.000 0.031
ttt_playerspawn	725.454773 377.110870 -2.489456	-0.036 -0.000 0.036
ttt_playerspawn	724.610229 649.131042 -127.496704	-0.010 -0.000 0.010
ttt_playerspawn	1152.970093 183.566864 -111.520958	-0.049 -0.000 0.049
ttt_playerspawn	1286.052368 150.510498 64.527565	-0.029 -0.000 0.029
ttt_playerspawn	1383.228149 294.823669 64.526466	-0.030 -0.000 0.030
ttt_playerspawn	-134.715652 -411.046509 24.560778	0.062 -0.000 -0.062
ttt_playerspawn	-100.582130 -382.240417 -111.500931	-0.041 -0.000 0.041
ttt_playerspawn	-1876.338867 1011.574097 -577.612732	2.875 0.425 -9.373
ttt_playerspawn	2201.685059 -792.728821 192.487839	-0.045 -0.000 0.045
weapon_zm_molotov	347.056549 -234.198883 -59.402630	2.445 -0.125 -2.529
weapon_zm_molotov	210.800430 -231.777695 -59.394035	2.201 -0.125 -2.274
weapon_zm_molotov	449.992523 998.689819 -107.468964	0.987 0.012 -0.763
weapon_zm_molotov	449.674347 733.397888 -107.367729	1.424 -0.113 -1.466
weapon_zm_molotov	892.935242 1796.219849 -123.450432	0.224 -0.203 -0.043
weapon_zm_molotov	-107.415031 1229.367310 164.598602	2.408 -0.129 -2.489
weapon_zm_molotov	587.801392 -618.789246 -75.406754	2.493 -0.128 -2.567
weapon_zm_molotov	1576.847412 -356.935608 -82.845078	0.018 0.151 -0.037
weapon_zm_molotov	2136.635010 -138.833481 -105.385994	74.641 132.171 -138.445
weapon_zm_molotov	2151.307617 -137.598846 -105.207382	22.912 0.670 102.422
weapon_zm_molotov	663.784119 -72.252785 -105.146965	32.148 -73.360 103.196
weapon_ttt_confgrenade	1622.846069 -363.392273 -85.440674	-12.844 -17.841 93.563
weapon_ttt_confgrenade	1629.303589 -359.685547 -85.356850	86.424 37.540 173.086
weapon_ttt_confgrenade	1630.256958 -349.961090 -85.655411	-5.229 -1.593 -103.718
weapon_ttt_confgrenade	1629.165527 -355.162048 -83.938049	0.645 -14.530 2.801
weapon_ttt_confgrenade	262.467651 -378.447815 -60.456493	1.676 0.223 -0.498
weapon_ttt_confgrenade	353.574890 -378.953369 -60.456493	1.676 0.223 -0.498
weapon_ttt_confgrenade	2156.931885 -139.225449 -105.142471	-8.966 -16.767 121.476
weapon_ttt_confgrenade	2161.302490 -141.968170 -105.507881	-60.871 58.818 99.692
weapon_ttt_confgrenade	664.513977 -61.598988 -103.004440	-7.353 -70.448 21.287
weapon_ttt_confgrenade	917.247620 146.107346 -124.456459	1.660 0.244 -0.523
item_ammo_revolver_ttt	2453.293701 226.077759 136.389130	0.462 0.057 0.032
item_ammo_revolver_ttt	2465.502686 231.421295 136.437515	1.025 0.014 -0.849
item_ammo_revolver_ttt	301.990295 -358.298004 -63.669552	0.451 0.070 0.055
item_ammo_revolver_ttt	317.128296 -337.667297 -63.599499	0.464 0.056 0.027
item_ammo_revolver_ttt	318.823364 -256.056213 -63.595406	0.465 0.056 0.026
item_ammo_revolver_ttt	315.286224 -235.176682 -63.687523	0.447 0.075 0.062
item_ammo_revolver_ttt	-302.318054 1667.420166 -111.580437	0.467 -0.053 -0.020
item_ammo_revolver_ttt	-290.145752 1657.583740 -111.651749	0.946 0.062 0.005
item_ammo_revolver_ttt	550.682373 1365.272461 25.344484	0.453 0.064 0.049
item_ammo_revolver_ttt	551.905701 1384.441528 25.369997	0.458 0.059 0.039
item_ammo_revolver_ttt	492.061035 1404.770386 -367.645905	0.466 0.062 0.042
item_ammo_revolver_ttt	514.815735 1404.362915 -367.655029	0.465 0.064 0.045
item_ammo_revolver_ttt	1028.234619 -912.327271 -596.602478	10.082 -1.250 -7.710
item_ammo_revolver_ttt	1027.613647 -897.392273 -598.473206	11.013 -0.654 -7.600
item_ammo_revolver_ttt	-958.401794 -1346.352051 -598.284119	-0.069 27.099 -0.107
item_ammo_revolver_ttt	-949.521973 -1347.365967 -596.926453	-9.398 24.974 11.825
item_ammo_revolver_ttt	365.516449 -400.398071 -572.988953	-4.233 0.045 5.678
item_ammo_revolver_ttt	376.318146 -390.302704 -571.404053	-2.904 -0.040 5.053
item_ammo_revolver_ttt	1562.911133 162.891846 -103.694839	0.446 0.082 0.065
item_ammo_revolver_ttt	1570.120361 176.689056 -103.590622	0.466 0.056 0.024
item_ammo_revolver_ttt	688.067322 112.028908 28.649263	0.442 -0.057 -0.043
item_ammo_revolver_ttt	698.937744 113.018974 28.639874	0.439 -0.059 -0.047
item_ammo_revolver_ttt	907.484131 197.312088 -127.639114	0.467 0.060 0.040
item_ammo_revolver_ttt	893.895935 207.167267 -127.640778	0.466 0.062 0.040
item_ammo_revolver_ttt	-156.759857 -488.376282 -80.313354	0.453 -0.050 -0.030
item_ammo_revolver_ttt	-146.398026 -483.826477 -80.381424	0.433 -0.068 -0.054
